league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot_1,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt
ENG-Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20.0,2004.0,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester Utd,Tyler Fredricson,ENG,DF,19.0,2005.0,1.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester Utd,Tyrell Malacia,NED,MF,24.0,1999.0,1.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester Utd,Victor Lindelöf,SWE,DF,30.0,1994.0,7.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Newcastle,Alexander Isak,SWE,FW,24.0,1999.0,30.6,23,99,46,46.5,3.23,1.5,0.19,0.41,4,4
ENG-Premier League,2425,Newcastle,Anthony Gordon,ENG,"FW,MF",23.0,2001.0,27.0,6,59,19,32.2,2.18,0.7,0.08,0.26,1,2
ENG-Premier League,2425,Newcastle,Bruno Guimarães,BRA,MF,26.0,1997.0,36.3,5,45,15,33.3,1.24,0.41,0.11,0.33,0,0
ENG-Premier League,2425,Newcastle,Callum Wilson,ENG,FW,32.0,1992.0,4.1,0,6,1,16.7,1.46,0.24,0.0,0.0,0,0
ENG-Premier League,2425,Newcastle,Dan Burn,ENG,DF,32.0,1992.0,37.0,1,22,6,27.3,0.59,0.16,0.05,0.17,0,0
ENG-Premier League,2425,Newcastle,Emil Krafth,SWE,DF,29.0,1994.0,3.8,0,1,0,0.0,0.26,0.0,0.0,,0,0
ENG-Premier League,2425,Newcastle,Fabian Schär,SUI,DF,32.0,1991.0,32.6,4,40,11,27.5,1.23,0.34,0.1,0.36,0,0
ENG-Premier League,2425,Newcastle,Harvey Barnes,ENG,"FW,MF",26.0,1997.0,19.5,9,63,21,33.3,3.23,1.08,0.14,0.43,0,0
