league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,playing_time_90s
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,34.0,1990.0,1,1,90,1.0,3,3.0,7,4,57.1,0.0,0.0,1.0,0,0.0,0,0,0,0,,
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,21.0,2002.0,36,36,3240,36.8,53,1.47,148,95,64.2,7.0,15.0,14.0,7,19.4,5,5,0,0,0.0,
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,24.0,1999.0,38,38,3420,38.0,35,0.92,153,118,77.1,20.0,9.0,9.0,16,42.1,4,4,0,0,0.0,
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,31.0,1992.0,1,1,90,1.0,3,3.0,7,4,57.1,0.0,0.0,1.0,0,0.0,0,0,0,0,,
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,27.0,1997.0,37,37,3330,37.0,42,1.14,173,131,75.7,10.0,14.0,13.0,10,27.0,7,3,4,0,57.1,
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,38.0,1985.0,1,1,90,1.0,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,24.0,1999.0,25,25,2250,25.0,40,1.6,113,73,64.6,6.0,4.0,15.0,4,16.0,5,4,0,1,0.0,
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22.0,2002.0,12,12,1080,12.0,16,1.33,54,38,70.4,5.0,4.0,3.0,4,33.3,3,3,0,0,0.0,
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,22.0,2002.0,16,16,1367,15.2,23,1.51,84,61,72.6,2.0,6.0,8.0,0,0.0,5,4,1,0,20.0,
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27.0,1997.0,15,15,1350,15.0,18,1.2,63,47,71.4,2.0,7.0,6.0,4,26.7,3,3,0,0,0.0,
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,31.0,1993.0,8,7,703,7.8,15,1.92,42,27,64.3,1.0,1.0,5.0,2,28.6,3,3,0,0,0.0,
ITA-Serie A,2526,Atalanta,Marco Carnesecchi,ITA,GK,25.0,2000.0,37,37,3330,37.0,35,0.95,148,112,76.4,15.0,13.0,9.0,13,35.1,4,2,2,0,50.0,
ITA-Serie A,2526,Atalanta,Marco Sportiello,ITA,GK,33.0,1992.0,1,1,90,1.0,1,1.0,4,3,75.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,
ITA-Serie A,2526,Bologna,Federico Ravaglia,ITA,GK,25.0,1999.0,17,16,1470,16.3,29,1.78,81,52,64.2,4.0,3.0,9.0,2,12.5,2,2,0,0,0.0,
ITA-Serie A,2526,Bologna,Massimo Pessina,ITA,GK,17.0,2007.0,4,3,353,3.9,2,0.51,9,7,77.8,2.0,1.0,0.0,3,100.0,0,0,0,0,,
ITA-Serie A,2526,Bologna,Łukasz Skorupski,POL,GK,34.0,1991.0,19,19,1592,17.7,18,1.02,51,33,64.7,10.0,4.0,5.0,8,42.1,2,2,0,0,0.0,
ITA-Serie A,2526,Cagliari,Elia Caprile,ITA,GK,23.0,2001.0,38,38,3420,38.0,53,1.39,175,121,69.7,11.0,10.0,17.0,8,21.1,2,2,0,0,0.0,
ITA-Serie A,2526,Como,Jean Butez,FRA,GK,30.0,1995.0,38,38,3420,38.0,29,0.76,116,86,75.0,20.0,11.0,7.0,19,50.0,6,5,1,0,16.7,
ITA-Serie A,2526,Cremonese,Emil Audero,IDN,GK,28.0,1997.0,34,34,3060,34.0,50,1.47,173,123,71.1,8.0,7.0,19.0,11,32.4,6,4,2,0,33.3,
ITA-Serie A,2526,Cremonese,Marco Silvestri,ITA,GK,34.0,1991.0,4,4,360,4.0,7,1.75,22,15,68.2,0.0,3.0,1.0,0,0.0,0,0,0,0,,
ITA-Serie A,2526,Fiorentina,David de Gea,ESP,GK,34.0,1990.0,37,37,3330,37.0,49,1.32,169,119,71.0,9.0,14.0,14.0,10,27.0,6,5,1,0,16.7,
ITA-Serie A,2526,Fiorentina,Luca Lezzerini,ITA,GK,30.0,1995.0,1,0,4,0.0,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,
ITA-Serie A,2526,Fiorentina,Oliver Christensen,DEN,GK,26.0,1999.0,1,1,86,1.0,1,1.05,7,6,85.7,0.0,1.0,0.0,0,0.0,0,0,0,0,,
ITA-Serie A,2526,Genoa,Daniele Sommariva,ITA,GK,28.0,1997.0,2,1,176,2.0,4,2.05,12,8,66.7,0.0,0.0,1.0,0,0.0,0,0,0,0,,
ITA-Serie A,2526,Genoa,Justin Bijlow,NED,GK,27.0,1998.0,16,16,1395,15.5,20,1.29,65,45,69.2,6.0,3.0,7.0,5,31.3,5,5,0,0,0.0,
ITA-Serie A,2526,Genoa,Nicola Leali,ITA,GK,32.0,1993.0,22,21,1847,20.5,28,1.36,86,58,67.4,4.0,8.0,9.0,4,19.0,2,2,0,0,0.0,
ITA-Serie A,2526,Hellas Verona,Lorenzo Montipò,ITA,GK,29.0,1996.0,35,35,3150,35.0,54,1.54,142,87,62.0,3.0,11.0,21.0,5,14.3,5,2,3,0,60.0,
ITA-Serie A,2526,Hellas Verona,Simone Perilli,ITA,GK,30.0,1995.0,3,3,270,3.0,7,2.33,15,8,53.3,0.0,1.0,2.0,1,33.3,0,0,0,0,,
ITA-Serie A,2526,Inter,Josep Martinez,ESP,GK,27.0,1998.0,5,5,450,5.0,4,0.8,14,10,71.4,4.0,1.0,0.0,3,60.0,0,0,0,0,,
