league,season,team,player,nation,pos,age,born,90s,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,a_xag,kp,1_3,ppa,crspa
INT-World Cup,2026,Germany,Leon Goretzka,Germany,MF,31,1995,1.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Leroy Sané,Germany,MF,30,1996,3.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Malick Thiaw,Germany,"DF,MF",24,2001,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Manuel Neuer,Germany,GK,40,1986,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Maximilian Beier,Germany,"FW,MF",23,2002,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Nadiem Amiri,Germany,MF,29,1996,0.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Germany,Nathaniel Brown,Germany,DF,22,2003,3.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Germany,Nick Woltemade,Germany,"FW,MF",24,2002,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Nico Schlotterbeck,Germany,DF,26,1999,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Pascal Groß,Germany,"DF,MF",34,1991,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Waldemar Anton,Germany,"DF,MF",29,1996,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Abdul Fatawu Issahaku,Ghana,"FW,MF",22,2004,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Abdul Rahman Baba,Ghana,"DF,MF",31,1994,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Alidu Seidu,Ghana,DF,26,2000,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Antoine Semenyo,Ghana,"MF,FW",26,2000,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Benjamin Asare,Ghana,GK,33,1992,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Brandon Thomas-Asante,Ghana,"FW,MF",27,1998,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Caleb Yirenkyi,Ghana,MF,20,2006,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Derrick Luckassen,Ghana,DF,30,1995,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Elisha Owusu,Ghana,MF,28,1997,1.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Ernest Nuamah,Ghana,MF,22,2003,1.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Ghana,Gideon Mensah,Ghana,DF,27,1998,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Iñaki Williams,Ghana,"MF,FW",31,1994,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Jerome Opoku,Ghana,DF,27,1998,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Jonas Adjetey,Ghana,DF,22,2003,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Jordan Ayew,Ghana,FW,34,1991,3.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Kamaldeen Sulemana,Ghana,"MF,FW",24,2002,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Kojo Peprah Oppong,Ghana,DF,22,2004,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Kwasi Sibo,Ghana,MF,27,1998,2.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Lawrence Ati-Zigi,Ghana,GK,29,1996,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Marvin Senaya,Ghana,DF,25,2001,3.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Prince Kwabena Adu,Ghana,FW,22,2003,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ghana,Thomas Partey,Ghana,MF,33,1993,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Carlens Arcus,Haiti,"MF,DF",29,1996,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Danley Jean-Jacques,Haiti,MF,26,2000,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Derrick Etienne,Haiti,"FW,MF",29,1996,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Dominique Simon,Haiti,MF,25,2000,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Duckens Nazon,Haiti,"FW,MF",32,1994,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Frantzdy Pierrot,Haiti,FW,31,1995,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Hannes Delcroix,Haiti,DF,27,1999,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Jean-Kevin Duverne,Haiti,DF,28,1997,1.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Haiti,Jean-Ricner Bellegarde,Haiti,MF,27,1998,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Johny Placide,Haiti,GK,38,1988,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Josué Casimir,Haiti,MF,24,2001,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Lenny Joseph,Haiti,FW,25,2000,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Louicius Deedson,Haiti,MF,25,2001,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Martin Expérience,Haiti,"DF,MF",27,1999,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Ricardo Adé,Haiti,DF,36,1990,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Ruben Providence,Haiti,MF,24,2001,2.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Wilson Isidor,Haiti,FW,25,2000,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Haiti,Yassin Fortuné,Haiti,"FW,MF",27,1999,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Ali Alipour,IR Iran,FW,30,1995,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Ali Nemati,IR Iran,DF,30,1996,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Alireza Beiranvand,IR Iran,GK,33,1992,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Alireza Jahanbakhsh,IR Iran,"FW,MF",32,1993,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Amirhossein Hosseinzadeh,IR Iran,FW,25,2000,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Aria Yousefi,IR Iran,MF,24,2002,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Ehsan Hajsafi,IR Iran,DF,36,1990,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Hossein Kanaanizadegan,IR Iran,DF,32,1994,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Mehdi Ghayedi,IR Iran,FW,27,1998,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Mehdi Taremi,IR Iran,FW,33,1992,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Mehdi Torabi,IR Iran,MF,31,1994,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Milad Mohammadi,IR Iran,DF,32,1993,2.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Mohammad Ghorbani,IR Iran,MF,25,2001,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Mohammad Mohebi,IR Iran,MF,27,1998,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Ramin Rezaeian,IR Iran,"DF,MF",36,1990,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,IR Iran,Saeid Ezatolahi,IR Iran,MF,29,1996,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Saleh Hardani,IR Iran,DF,27,1998,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Saman Ghoddos,IR Iran,MF,32,1993,2.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Shahriar Moghanlou,IR Iran,FW,31,1994,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,IR Iran,Shoja' Khalilzadeh,IR Iran,DF,37,1989,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ahmed Basil,Iraq,GK,29,1996,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ahmed Maknzi,Iraq,DF,24,2001,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ahmed Qasem,Iraq,"MF,FW",22,2003,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Aimar Sher,Iraq,MF,23,2002,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Akam Hashim,Iraq,DF,27,1998,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ali Al Hamadi,Iraq,FW,24,2002,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ali Jasim,Iraq,MF,22,2004,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ali Yousif,Iraq,FW,30,1996,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Amir Al Ammari,Iraq,MF,28,1997,2.7,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Iraq,Ayman Hussein,Iraq,FW,30,1996,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Frans Dhia Putros,Iraq,DF,32,1993,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Hussein Ali,Iraq,DF,24,2002,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Ibrahim Bayesh,Iraq,"MF,FW",26,2000,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Jalal Hassan,Iraq,GK,35,1991,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Kevin Yakob,Iraq,MF,25,2000,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Manaf Younis,Iraq,DF,29,1996,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Marko Farji,Iraq,MF,22,2004,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Merchas Doski,Iraq,DF,26,1999,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Mohanad Ali,Iraq,FW,25,2000,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Mustafa Saadoon,Iraq,DF,25,2001,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Rebin Sulaka,Iraq,DF,34,1992,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Youssef Amyn,Iraq,MF,22,2003,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Zaid Ismail,Iraq,MF,24,2002,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Zaid Tahseen,Iraq,DF,25,2001,1.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Iraq,Zidane Iqbal,Iraq,MF,23,2003,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Ao Tanaka,Japan,MF,27,1998,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Ayase Ueda,Japan,FW,27,1998,3.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Ayumu Seko,Japan,DF,26,2000,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Daichi Kamada,Japan,MF,29,1996,3.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Daizen Maeda,Japan,MF,28,1997,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Hiroki Ito,Japan,DF,27,1999,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Junnosuke Suzuki,Japan,DF,22,2003,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Junya Itō,Japan,MF,33,1993,2.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Kaishū Sano,Japan,MF,25,2000,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Keisuke Gotō,Japan,FW,21,2005,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Keito Nakamura,Japan,MF,25,2000,3.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Kento Shiogai,Japan,FW,21,2005,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Ko Itakura,Japan,DF,29,1997,1.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Kōki Ogawa,Japan,FW,28,1997,0.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Ritsu Doan,Japan,MF,27,1998,3.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Shogo Taniguchi,Japan,DF,34,1991,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Shuto Machino,Japan,FW,26,1999,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Takefusa Kubo,Japan,MF,25,2001,0.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Japan,Takehiro Tomiyasu,Japan,DF,27,1998,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Tsuyoshi Watanabe,Japan,DF,29,1997,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Yuito Suzuki,Japan,"FW,MF",24,2001,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Yukinari Sugawara,Japan,MF,25,2000,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Yūto Nagatomo,Japan,"DF,MF",39,1986,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Japan,Zion Suzuki,Japan,GK,23,2002,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Abdallah Nasib,Jordan,DF,32,1994,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Ali Azaizeh,Jordan,MF,22,2004,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Ali Olwan,Jordan,MF,26,2000,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Amer Jamous,Jordan,MF,23,2002,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Husam Abu Dahab,Jordan,DF,26,2000,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Ihsan Haddad,Jordan,DF,32,1994,2.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Jordan,Mahmoud Al-Mardi,Jordan,MF,32,1993,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Mo Abualnadi,Jordan,DF,25,2001,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Mohammad Abu Hasheesh,Jordan,DF,31,1995,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Mohammad Al-Dawud,Jordan,"FW,MF",34,1992,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Mohannad Abu Taha,Jordan,DF,23,2003,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Musa Al-Taamari,Jordan,FW,29,1997,2.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Jordan,Nizar Al Rashdan,Jordan,MF,27,1999,2.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Noor Al Rawabdeh,Jordan,MF,29,1997,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Jordan,Odeh Al-Fakhouri,Jordan,"MF,FW",20,2005,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Saed Al-Rosan,Jordan,DF,29,1997,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Salim Obaid,Jordan,DF,34,1992,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Sharara,Jordan,FW,28,1997,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Yazan Al-Arab,Jordan,DF,30,1996,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Jordan,Yazeed Abulaila,Jordan,GK,33,1993,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Cho Gue-sung,Korea Republic,FW,28,1998,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Eom Ji-sung,Korea Republic,MF,24,2002,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Hwang Hee-chan,Korea Republic,FW,30,1996,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Hwang In-beom,Korea Republic,MF,29,1996,2.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Korea Republic,Jens Castrop,Korea Republic,MF,22,2003,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Kim Jin-gyu,Korea Republic,MF,29,1997,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Kim Min-jae,Korea Republic,DF,29,1996,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Kim Moon-hwan,Korea Republic,MF,30,1995,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Kim Seung-gyu,Korea Republic,GK,35,1990,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Lee Gi-hyuk,Korea Republic,DF,25,2000,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Lee Han-beom,Korea Republic,DF,23,2002,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Lee Jae-sung,Korea Republic,FW,33,1992,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Lee Kang-in,Korea Republic,FW,25,2001,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Korea Republic,Lee Tae-seok,Korea Republic,MF,23,2002,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Oh Hyeon-gyu,Korea Republic,FW,25,2001,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Paik Seung-ho,Korea Republic,MF,29,1997,2.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Park Jinseob,Korea Republic,"DF,MF",30,1995,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Seol Young-woo,Korea Republic,MF,27,1998,2.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Son Heung-min,Korea Republic,FW,33,1992,1.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Korea Republic,Yang Hyun-jun,Korea Republic,"FW,MF",24,2002,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Alexis Vega,Mexico,"FW,MF",28,1997,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Armando González,Mexico,FW,23,2003,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Brian Gutiérrez,Mexico,MF,22,2003,2.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,César Huerta,Mexico,"FW,MF",25,2000,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,César Montes,Mexico,DF,29,1997,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Edson Álvarez,Mexico,"MF,DF",28,1997,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Erik Lira,Mexico,MF,26,2000,3.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Mexico,Gilberto Mora,Mexico,MF,17,2008,2.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Guillermo Martínez Ayala,Mexico,FW,31,1995,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Guillermo Ochoa,Mexico,GK,40,1985,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Israel Reyes,Mexico,DF,26,2000,2.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Jesús Gallardo,Mexico,DF,31,1994,4.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Johan Vásquez,Mexico,DF,27,1998,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Jorge Sánchez,Mexico,DF,28,1997,3.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Mexico,Julián Quiñones,Mexico,"FW,MF",29,1997,4.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Mexico,Luis Chávez,Mexico,MF,30,1996,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Luis Romo,Mexico,MF,31,1995,2.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Mexico,Mateo Chávez,Mexico,DF,22,2004,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Obed Vargas,Mexico,MF,20,2005,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Orbelín Pineda,Mexico,"FW,MF",30,1996,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Raúl Jiménez,Mexico,FW,35,1991,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Raúl Rangel,Mexico,GK,26,2000,4.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Roberto Alvarado,Mexico,"FW,MF",27,1998,4.8,,,,,,,,,,,,,,,3,,,,,
INT-World Cup,2026,Mexico,Santiago Giménez,Mexico,FW,25,2001,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Mexico,Álvaro Fidalgo,Mexico,MF,29,1997,1.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Achraf Hakimi,Morocco,DF,27,1998,6.3,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Morocco,Amine Sbai,Morocco,"FW,MF",25,2000,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Anass Salah-Eddine,Morocco,DF,24,2002,2.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Ayoub El Kaabi,Morocco,FW,32,1993,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Ayoube Amaimouni,Morocco,MF,21,2004,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Ayyoub Bouaddi,Morocco,MF,18,2007,4.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Azzedine Ounahi,Morocco,MF,26,2000,4.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Bilal El Khannouss,Morocco,"MF,FW",22,2004,5.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Brahim Díaz,Morocco,MF,26,1999,5.1,,,,,,,,,,,,,,,4,,,,,
INT-World Cup,2026,Morocco,Chadi Riad,Morocco,DF,22,2003,3.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Morocco,Chemsdine Talbi,Morocco,MF,21,2005,2.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Morocco,Gessime Yassine,Morocco,MF,20,2005,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Ismael Saibari,Morocco,FW,25,2001,4.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Issa Diop,Morocco,DF,29,1997,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Marwane Saâdane,Morocco,"DF,MF",34,1992,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Neil El Aynaoui,Morocco,MF,24,2001,6.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Noussair Mazraoui,Morocco,DF,28,1997,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Redouane Halhal,Morocco,DF,23,2003,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Samir El Mourabet,Morocco,MF,20,2005,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Sofyan Amrabat,Morocco,MF,29,1996,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Soufiane Rahimi,Morocco,FW,30,1996,1.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Morocco,Yassine Bounou,Morocco,GK,35,1991,6.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Morocco,Zakaria El Ouahdi,Morocco,"DF,MF",24,2001,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Netherlands,Bart Verbruggen,Netherlands,GK,23,2002,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Netherlands,Brian Brobbey,Netherlands,FW,24,2002,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Netherlands,Cody Gakpo,Netherlands,FW,27,1999,4.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Netherlands,Crysencio Summerville,Netherlands,FW,24,2001,2.8,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Netherlands,Denzel Dumfries,Netherlands,"DF,MF",30,1996,4.3,,,,,,,,,,,,,,,2,,,,,
