season,competition,date,team,player,xg,x,y,situation,body_part,outcome,minute,source
2425,La Liga,2024-08-27 19:30:00,Barcelona,Lamine Yamal,0.0240620039403438,80.4000015258789,32.29999923706054,Open Play,Left Foot,saved,36,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Lamine Yamal,0.0316043384373188,86.80000305175781,29.10000038146972,Open Play,Left Foot,blocked,58,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Lamine Yamal,0.0433554649353027,79.0999984741211,47.9000015258789,From Corner,Left Foot,blocked,79,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Lamine Yamal,0.0424920357763767,80.30000305175781,34.9000015258789,Open Play,Left Foot,blocked,93,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Marc Bernal,0.0327208340167999,80.19999694824219,65.5,Open Play,Left Foot,blocked,56,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Marc Bernal,0.0233426429331302,74.30000305175781,39.79999923706054,Open Play,Left Foot,saved,92,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Pau Cubarsí,0.0166172832250595,96.0999984741211,60.599998474121094,From Corner,,blocked,80,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Pedri,0.0146727906540036,71.9000015258789,50.59999847412109,Open Play,Right Foot,blocked,35,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Pedri,0.1384546011686325,89.69999694824219,56.099998474121094,Open Play,Left Foot,goal,59,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Raphinha,0.03413026034832,93.40000152587892,66.30000305175781,Open Play,Left Foot,blocked,46,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Raphinha,0.0655864924192428,74.0999984741211,53.79999923706055,Direct Freekick,Left Foot,missed,52,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Raphinha,0.535180926322937,93.90000152587892,50.29999923706055,Open Play,,missed,94,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Robert Lewandowski,0.0567049831151962,84.0,67.80000305175781,Open Play,Right Foot,missed,53,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Adrián Embarba,0.0249685905873775,86.5,24.29999923706054,Open Play,Left Foot,saved,78,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Adrián Embarba,0.0521898157894611,87.5,34.200000762939446,Open Play,Left Foot,blocked,100,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Alfonso Espino,0.0502657741308212,85.4000015258789,70.80000305175781,Open Play,Left Foot,saved,42,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Gerard Gumbau,0.0484448932111263,89.4000015258789,69.4000015258789,Open Play,Left Foot,missed,97,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Isi Palazón,0.0476927086710929,78.4000015258789,62.20000076293945,Open Play,Left Foot,missed,7,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Unai López,0.1132662892341613,90.6999969482422,39.70000076293945,Open Play,Right Foot,goal,8,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Álvaro García,0.0471941865980625,84.30000305175781,38.79999923706054,From Corner,Right Foot,saved,6,understat
2425,La Liga,2024-08-27 19:30:00,Rayo Vallecano,Álvaro García,0.008451085537672,65.5999984741211,91.4000015258789,Open Play,Left Foot,missed,32,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Dani Olmo,0.3461118936538696,96.0999984741211,38.0,Open Play,Right Foot,post,3,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Dani Olmo,0.021934650838375,72.5999984741211,36.4000015258789,Open Play,Right Foot,saved,38,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Dani Olmo,0.1239202842116355,85.30000305175781,51.5,Open Play,Right Foot,post,40,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Dani Olmo,0.1315528154373169,91.4000015258789,61.79999923706055,Open Play,Left Foot,blocked,49,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Dani Olmo,0.0251557901501655,81.80000305175781,73.5,Open Play,Right Foot,missed,54,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Dani Olmo,0.4376397430896759,94.1999969482422,61.70000076293945,Open Play,Right Foot,goal,81,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Fermín López,0.0216809753328561,80.4000015258789,77.0,From Corner,Right Foot,missed,91,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Ferrán Torres,0.4119284749031067,91.4000015258789,54.79999923706055,Open Play,Right Foot,goal,84,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Iñigo Martínez,0.0585529692471027,90.5,56.49999999999999,Set Piece,Left Foot,blocked,15,understat
2425,La Liga,2024-08-31 15:00:00,Barcelona,Jules Koundé,0.0957972481846809,90.59999847412108,48.599998474121094,From Corner,Right Foot,goal,46,understat
