,,,,nation,pos,age,Club,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Curaçao,Sontje Hansen,Curaçao,FW,24,2. Middlesbrough,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Tahith Chong,Curaçao,MF,26,2. Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Tyrese Noslin,Curaçao,MF,23,1. Telstar,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Adam Hložek,Czechia,FW,23,1. Hoffenheim,2002,3,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Alexandr Sojka,Czechia,"MF,DF",23,1. Viktoria Plzeň,2003,3,2,141,1.6,0,1,1,0,0,0,0,0,0.0,0.64,0.64,0.0,0.64
INT-World Cup,2026,Czechia,David Douděra,Czechia,MF,28,1. Slavia Prague,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,David Zima,Czechia,DF,25,1. Slavia Prague,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Denis Višinský,Czechia,FW,23,1. Viktoria Plzeň,2003,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Jaroslav Zelený,Czechia,MF,33,1. Sparta Prague,1992,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Ladislav Krejčí,Czechia,DF,27,1. Wolves,1999,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33
INT-World Cup,2026,Czechia,Lukáš Provod,Czechia,FW,29,1. Slavia Prague,1996,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Lukáš Červ,Czechia,MF,25,1. Viktoria Plzeň,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Matej Kovar,Czechia,GK,26,1. PSV,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Michal Sadílek,Czechia,MF,27,1. Slavia Prague,1999,3,2,183,2.0,1,0,1,1,0,0,0,0,0.49,0.0,0.49,0.49,0.49
INT-World Cup,2026,Czechia,Mojmír Chytil,Czechia,FW,27,1. Slavia Prague,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Patrik Schick,Czechia,FW,30,1. Leverkusen,1996,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Pavel Šulc,Czechia,FW,25,1. Lyon,2000,3,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Robin Hranáč,Czechia,DF,26,1. Hoffenheim,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Tomáš Chorý,Czechia,FW,31,1. Slavia Prague,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Tomáš Holeš,Czechia,DF,33,1. Slavia Prague,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Tomáš Souček,Czechia,MF,31,1. West Ham,1995,3,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Vladimír Coufal,Czechia,"MF,DF",33,1. Hoffenheim,1992,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Czechia,Vladimír Darida,Czechia,MF,35,1. Hradec Králové,1990,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Štěpán Chaloupek,Czechia,DF,23,1. Slavia Prague,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Amad Diallo,Côte d'Ivoire,"MF,FW",23,1. Manchester Utd,2002,4,2,185,2.1,2,0,2,2,0,0,0,0,0.97,0.0,0.97,0.97,0.97
INT-World Cup,2026,Côte d'Ivoire,Ange-Yoan Bonny,Côte d'Ivoire,FW,22,1. Inter,2003,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Bazoumana Touré,Côte d'Ivoire,MF,20,1. Hoffenheim,2006,3,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Christ Inao Oulaï,Côte d'Ivoire,MF,20,1. Trabzonspor,2006,4,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Christopher Opéri,Côte d'Ivoire,DF,29,1. Başakşehir,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Elye Wahi,Côte d'Ivoire,FW,23,1. Nice,2003,3,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Emmanuel Agbadou,Côte d'Ivoire,DF,28,1. Beşiktaş,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Evann Guessand,Côte d'Ivoire,"FW,MF",24,1. Crystal Palace,2001,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Franck Kessié,Côte d'Ivoire,MF,29,1. Al-Ahli,1996,4,4,346,3.8,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26
INT-World Cup,2026,Côte d'Ivoire,Ghislain Konan,Côte d'Ivoire,DF,30,1. Gil Vicente FC,1995,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Guéla Doué,Côte d'Ivoire,DF,23,1. Strasbourg,2002,4,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Ibrahim Sangaré,Côte d'Ivoire,MF,28,1. Nottingham,1997,4,3,268,3.0,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34
INT-World Cup,2026,Côte d'Ivoire,Jean Seri,Côte d'Ivoire,MF,34,1. NK Maribor,1991,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Nicolas Pépé,Côte d'Ivoire,FW,31,1. Villarreal,1995,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,0.77,1.15
INT-World Cup,2026,Côte d'Ivoire,Odilon Kossounou,Côte d'Ivoire,DF,25,1. Atalanta,2001,4,3,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Oumar Diakité,Côte d'Ivoire,FW,22,1. Cercle Brugge,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Ousmane Diomande,Côte d'Ivoire,DF,22,1. Sporting CP,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Seko Fofana,Côte d'Ivoire,MF,31,1. Porto,1995,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Simon Adingra,Côte d'Ivoire,"FW,MF",24,1. Monaco,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Wilfried Singo,Côte d'Ivoire,DF,25,1. Galatasaray,2000,2,2,171,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Côte d'Ivoire,Yahia Fofana,Côte d'Ivoire,GK,25,1. Rizespor,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Yan Diomandé,Côte d'Ivoire,"MF,FW",19,1. RB Leipzig,2006,4,4,329,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27
INT-World Cup,2026,Ecuador,Alan Franco,Ecuador,DF,27,1. Atlético Mineiro,1998,4,4,251,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Alan Minda,Ecuador,MF,23,1. Atlético Mineiro,2003,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Enner Valencia,Ecuador,FW,36,1. Pachuca,1989,4,4,287,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Félix Torres Caicedo,Ecuador,DF,29,1. Internacional,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Gonzalo Plata,Ecuador,FW,25,1. Flamengo,2000,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25
INT-World Cup,2026,Ecuador,Hernán Galíndez,Ecuador,GK,39,1. Huracán,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Jackson Porozo,Ecuador,DF,25,1. Tijuana,2000,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Joel Ordóñez,Ecuador,DF,22,1. Club Brugge,2004,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,John Yeboah,Ecuador,MF,25,2. Venezia,2000,4,4,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Jordy Alcivar,Ecuador,MF,26,1. Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Jordy Caicedo,Ecuador,FW,28,1. Huracán,1997,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Kendry Páez,Ecuador,MF,19,1. River Plate,2007,1,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Kevin Rodríguez,Ecuador,FW,26,1. Union SG,2000,4,0,118,1.3,0,1,1,0,0,0,0,0,0.0,0.76,0.76,0.0,0.76
INT-World Cup,2026,Ecuador,Moisés Caicedo,Ecuador,MF,24,1. Chelsea,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Nilson Angulo,Ecuador,MF,22,1. Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41
INT-World Cup,2026,Ecuador,Pedro Vite,Ecuador,MF,24,1. UNAM,2002,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2026,Ecuador,Pervis Estupiñán,Ecuador,MF,28,1. Milan,1998,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Piero Hincapié,Ecuador,DF,24,1. Arsenal,2002,4,4,339,3.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Willian Pacho,Ecuador,DF,24,1. PSG,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Yaimar Medina,Ecuador,"DF,MF",21,1. Genk,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Ángelo Preciado,Ecuador,"DF,MF",28,1. Atlético Mineiro,1998,4,0,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Ahmed Fatouh,Egypt,DF,28,1. Zamalek SC,1998,3,3,267,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Emam Ashour,Egypt,MF,28,1. Al Ahly,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.5,0.0,0.5,0.5,0.5
INT-World Cup,2026,Egypt,Haissem Hassan,Egypt,MF,24,1. Oviedo,2002,2,1,126,1.4,0,1,1,0,0,0,2,0,0.0,0.71,0.71,0.0,0.71
INT-World Cup,2026,Egypt,Hamdy Fathy,Egypt,"DF,MF",31,1. Al-Wakrah,1994,4,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Hamza Abdelkarim,Egypt,FW,18,4. Barcelona B,2008,4,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Hossam Abdelmaguid,Egypt,DF,25,1. Zamalek SC,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Ibrahim Adel,Egypt,MF,25,1. Nordsjælland,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Karim Hafez,Egypt,DF,30,1. Pyramids FC,1996,3,2,172,1.9,0,1,1,0,0,0,0,0,0.0,0.52,0.52,0.0,0.52
INT-World Cup,2026,Egypt,Mahmoud Saber,Egypt,MF,24,1. ZED,2001,2,1,46,0.5,1,0,1,1,0,0,1,0,1.96,0.0,1.96,1.96,1.96
INT-World Cup,2026,Egypt,Marwan Attia,Egypt,MF,27,1. Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21
INT-World Cup,2026,Egypt,Mohamed Abdelmonem,Egypt,DF,27,1. Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mohamed Hany,Egypt,DF,30,1. Al Ahly,1996,5,5,480,5.3,0,1,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19
INT-World Cup,2026,Egypt,Mohamed Salah,Egypt,"FW,MF",33,1. Liverpool,1992,5,5,425,4.7,1,2,3,1,0,0,0,0,0.21,0.42,0.64,0.21,0.64
INT-World Cup,2026,Egypt,Mohanad Lasheen,Egypt,MF,30,,1996,4,4,359,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mostafa Shobeir,Egypt,GK,26,1. Al Ahly,2000,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mostafa Ziko,Egypt,"FW,MF",29,1. Pyramids FC,1997,5,5,370,4.1,2,1,3,2,0,0,0,0,0.49,0.24,0.73,0.49,0.73
INT-World Cup,2026,Egypt,Omar Marmoush,Egypt,"FW,MF",27,1. Manchester City,1999,5,3,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Ramy Rabia,Egypt,DF,33,1. Al Ain,1993,5,3,372,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Trézéguet,Egypt,MF,31,1. Al Ahly,1994,4,1,164,1.8,1,1,2,1,0,0,0,0,0.55,0.55,1.1,0.55,1.1
INT-World Cup,2026,Egypt,Yasser Ibrahim,Egypt,DF,33,1. Al Ahly,1993,5,4,467,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19
INT-World Cup,2026,Egypt,Zizo,Egypt,MF,30,1. Al Ahly,1996,4,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Anthony Gordon,England,MF,25,1. Barcelona,2001,6,5,396,4.4,1,3,4,1,0,0,0,0,0.23,0.68,0.91,0.23,0.91
INT-World Cup,2026,England,Bukayo Saka,England,MF,24,1. Arsenal,2001,7,3,358,4.0,3,3,6,2,1,1,0,0,0.75,0.75,1.51,0.5,1.26
INT-World Cup,2026,England,Dan Burn,England,DF,34,1. Newcastle,1992,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Dean Henderson,England,GK,29,1. Crystal Palace,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Declan Rice,England,MF,27,1. Arsenal,1999,7,7,557,6.2,1,2,3,1,0,0,2,0,0.16,0.32,0.48,0.16,0.48
INT-World Cup,2026,England,Djed Spence,England,DF,25,1. Tottenham,2000,8,4,404,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Eberechi Eze,England,MF,27,1. Arsenal,1998,5,1,211,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43
INT-World Cup,2026,England,Elliot Anderson,England,MF,23,1. Nottingham,2002,8,7,632,7.0,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14
INT-World Cup,2026,England,Ezri Konsa,England,DF,28,1. Aston Villa,1997,8,7,647,7.2,1,0,1,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14
INT-World Cup,2026,England,Harry Kane,England,FW,32,1. Bayern Munich,1993,7,7,652,7.2,6,1,7,4,2,2,0,0,0.83,0.14,0.97,0.55,0.69
INT-World Cup,2026,England,Ivan Toney,England,FW,30,1. Al-Ahli,1996,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Jarell Quansah,England,DF,23,1. Leverkusen,2003,3,3,197,2.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,John Stones,England,DF,32,1. Manchester City,1994,5,3,330,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Jordan Henderson,England,MF,35,1. Brentford,1990,1,0,7,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Jordan Pickford,England,GK,32,1. Everton,1994,7,7,660,7.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Jude Bellingham,England,MF,22,1. Real Madrid,2003,8,7,614,6.8,7,1,8,7,0,0,1,0,1.03,0.15,1.17,1.03,1.17
INT-World Cup,2026,England,Marc Guéhi,England,DF,25,1. Manchester City,2000,8,7,663,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Marcus Rashford,England,MF,28,1. Barcelona,1997,6,3,223,2.5,1,1,2,1,0,0,0,0,0.4,0.4,0.81,0.4,0.81
INT-World Cup,2026,England,Morgan Rogers,England,MF,23,1. Aston Villa,2002,7,3,339,3.8,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27
INT-World Cup,2026,England,Nico O'Reilly,England,DF,21,1. Manchester City,2005,7,5,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Noni Madueke,England,MF,24,1. Arsenal,2002,5,4,286,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Ollie Watkins,England,"FW,MF",30,1. Aston Villa,1995,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Reece James,England,DF,26,1. Chelsea,1999,5,3,319,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Trevoh Chalobah,England,"DF,MF",26,1. Chelsea,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Adrien Rabiot,France,MF,31,1. Milan,1995,7,7,585,6.5,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15
INT-World Cup,2026,France,Aurélien Tchouaméni,France,MF,26,1. Real Madrid,2000,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2026,France,Bradley Barcola,France,MF,23,1. PSG,2002,8,4,384,4.3,3,1,4,3,0,0,1,0,0.7,0.23,0.94,0.7,0.94
INT-World Cup,2026,France,Dayot Upamecano,France,DF,27,1. Bayern Munich,1998,8,7,660,7.3,0,1,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14
INT-World Cup,2026,France,Désiré Doué,France,MF,21,1. PSG,2005,8,4,400,4.4,1,1,2,1,0,0,0,0,0.23,0.23,0.45,0.23,0.45
INT-World Cup,2026,France,Ibrahima Konaté,France,DF,27,1. Liverpool,1999,2,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Jean-Philippe Mateta,France,FW,28,1. Crystal Palace,1997,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Jules Koundé,France,DF,27,1. Barcelona,1998,8,7,599,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Kylian Mbappé,France,FW,27,1. Real Madrid,1998,8,8,695,7.7,10,4,14,9,1,2,1,0,1.29,0.52,1.81,1.17,1.68
INT-World Cup,2026,France,Lucas Digne,France,DF,32,1. Aston Villa,1993,6,5,463,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Maghnes Akliouche,France,MF,24,1. Monaco,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Malo Gusto,France,DF,23,1. Chelsea,2003,5,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Manu Koné,France,MF,25,1. Roma,2001,5,4,385,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Marcus Thuram,France,"FW,MF",28,1. Inter,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Maxence Lacroix,France,DF,26,1. Crystal Palace,2000,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Michael Olise,France,MF,24,1. Bayern Munich,2001,8,8,646,7.2,0,7,7,0,0,0,1,0,0.0,0.98,0.98,0.0,0.98
INT-World Cup,2026,France,Mike Maignan,France,GK,30,1. Milan,1995,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Ousmane Dembélé,France,MF,29,1. PSG,1997,8,7,592,6.6,6,2,8,6,0,0,0,0,0.91,0.3,1.22,0.91,1.22
INT-World Cup,2026,France,Rayan Cherki,France,MF,22,1. Manchester City,2003,7,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Theo Hernández,France,DF,28,1. Al-Hilal,1997,5,3,257,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Warren Zaïre-Emery,France,MF,20,1. PSG,2006,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,William Saliba,France,DF,25,1. Arsenal,2001,6,6,479,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Aleksandar Pavlovic,Germany,MF,22,1. Bayern Munich,2004,4,4,272,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Angelo Stiller,Germany,MF,25,1. Stuttgart,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Antonio Rüdiger,Germany,DF,33,1. Real Madrid,1993,4,2,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,David Raum,Germany,DF,28,1. RB Leipzig,1998,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Deniz Undav,Germany,FW,29,1. Stuttgart,1996,4,1,151,1.7,3,2,5,3,0,0,0,0,1.79,1.19,2.98,1.79,2.98
INT-World Cup,2026,Germany,Felix Nmecha,Germany,MF,25,1. Dortmund,2000,4,4,270,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67
INT-World Cup,2026,Germany,Florian Wirtz,Germany,MF,23,1. Liverpool,2003,4,4,361,4.0,0,3,3,0,0,0,0,0,0.0,0.75,0.75,0.0,0.75
INT-World Cup,2026,Germany,Jamal Musiala,Germany,MF,23,1. Bayern Munich,2003,4,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33
INT-World Cup,2026,Germany,Jamie Leweling,Germany,"FW,MF",25,1. Stuttgart,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Jonathan Tah,Germany,DF,30,1. Bayern Munich,1996,4,4,372,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Joshua Kimmich,Germany,DF,31,1. Bayern Munich,1995,4,4,351,3.9,0,2,2,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51
INT-World Cup,2026,Germany,Kai Havertz,Germany,FW,27,1. Arsenal,1999,4,4,353,3.9,3,0,3,2,1,1,1,0,0.76,0.0,0.76,0.51,0.51
INT-World Cup,2026,Germany,Leon Goretzka,Germany,MF,31,1. Bayern Munich,1995,3,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
