league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Pedri,4,2024,26995,148,8935,DMC,7,90,0,0,0,0.0,0.9124959707260132,0.3765912652015686,0,0.6004887223243713,5,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Raphinha,4,2024,26995,148,8026,AMC,12,90,0,0,4,0.5824723839759827,1.4221949577331543,0.0,0,1.3264756202697754,3,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Robert Lewandowski,4,2024,26995,148,227,FW,15,90,1,0,6,1.770371437072754,1.7346619367599487,0.41309571266174316,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Álex Balde,4,2024,26995,148,9805,DL,4,90,0,0,0,0.0,0.8381159901618958,0.8381159901618958,0,0.02947060391306877,1,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Dani Olmo,4,2024,27004,148,8292,Sub,17,40,1,0,3,0.11277702450752258,0.8280417323112488,0.1484794169664383,0,0.5667852759361267,2,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Fermín López,4,2024,27004,148,11822,Sub,17,1,0,0,0,0.0,0.535180926322937,0.535180926322937,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Ferrán Torres,4,2024,27004,148,6441,AML,13,50,0,0,2,0.09760095924139023,0.06676055490970612,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Gerard Martín,4,2024,27004,148,12821,DL,4,69,0,0,0,0.0,0.11583644896745682,0.11583644896745682,0,0.03272083401679993,1,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Iñigo Martínez,4,2024,27004,148,2484,DC,3,90,0,0,1,0.06704474240541458,0.7939547896385193,0.7939547896385193,0,0.024062003940343857,1,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Jules Koundé,4,2024,27004,148,6433,DR,2,90,0,0,2,0.08611232042312622,0.8189457058906555,0.7152647376060486,0,0.07662229984998703,2,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Lamine Yamal,4,2024,27004,148,11527,AMR,11,90,0,0,5,0.23777106404304504,0.4301493763923645,0.1484794169664383,1,0.24419310688972473,4,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Marc Bernal,4,2024,27004,148,12820,DMC,7,90,0,0,2,0.05606347694993019,0.6853969693183899,0.6182965636253357,0,0.0110369473695755,1,1,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Marc-André ter Stegen,4,2024,27004,148,2090,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Pau Cubarsí,4,2024,27004,148,12005,DC,3,90,0,0,1,0.01661728322505951,0.0316043384373188,0.0316043384373188,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Pau Victor,4,2024,27004,148,10953,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Pedri,4,2024,27004,148,8935,DMC,7,90,1,0,2,0.15312738716602325,0.4635986387729645,0.15750904381275177,0,0.1963176727294922,3,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Raphinha,4,2024,27004,148,8026,AMC,12,90,0,0,3,0.6348977088928223,0.7773165702819824,0.042492035776376724,1,0.1821305900812149,3,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Robert Lewandowski,4,2024,27004,148,227,FW,15,90,0,0,1,0.05670498311519623,0.05670498311519623,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Barcelona,Álex Balde,4,2024,27004,148,9805,Sub,17,21,0,0,0,0.0,0.6224352717399597,0.6224352717399597,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Abdul Mumin,4,2024,27004,145,11105,DC,3,90,0,0,0,0.0,0.11326628923416138,0.11326628923416138,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Adrián Embarba,4,2024,27004,145,2166,Sub,17,30,0,0,2,0.07715840637683868,0.1256033033132553,0.0,0,0.04844489321112633,1,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Alfonso Espino,4,2024,27004,145,8733,DL,4,90,0,0,1,0.05026577413082123,0.21197696030139923,0.161711186170578,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Daniel Cárdenas,4,2024,27004,145,8108,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Florian Lejeune,4,2024,27004,145,5073,DC,3,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Gerard Gumbau,4,2024,27004,145,2609,Sub,17,22,0,0,1,0.04844489321112633,0.04844489321112633,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Isi Palazón,4,2024,27004,145,9812,FW,15,90,0,0,1,0.04769270867109299,0.09795848280191422,0.05026577413082123,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Iván Balliu,4,2024,27004,145,5672,DR,2,90,0,0,0,0.0,0.11326628923416138,0.11326628923416138,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Jorge De Frutos,4,2024,27004,145,8107,MR,8,68,0,0,0,0.0,0.16095899045467377,0.04769270867109299,1,0.11326628923416138,1,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Pathé Ciss,4,2024,27004,145,9815,Sub,17,30,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Pep Chavarría,4,2024,27004,145,11087,Sub,17,18,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Randy Nteka,4,2024,27004,145,9813,Sub,17,22,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Sergio Camello,4,2024,27004,145,7528,FW,15,68,0,0,0,0.0,0.09795848280191422,0.0,0,0.14515267312526703,3,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Unai López,4,2024,27004,145,4091,MC,9,60,1,0,1,0.11326628923416138,0.11326628923416138,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Álvaro García,4,2024,27004,145,7071,ML,10,60,0,0,2,0.05564527213573456,0.05871685966849327,0.05026577413082123,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-27 Rayo Vallecano-Barcelona,Rayo Vallecano,Óscar Valentín,4,2024,27004,145,9811,MC,9,72,0,0,0,0.0,0.05026577413082123,0.05026577413082123,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Dani Olmo,4,2024,27012,148,8292,MC,9,87,1,0,6,1.0863151550292969,1.9323533773422241,0.37010473012924194,0,0.4759334921836853,1,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Eric Garcia,4,2024,27012,148,8045,Sub,17,26,0,0,0,0.0,0.4119284749031067,0.4119284749031067,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Fermín López,4,2024,27012,148,11822,Sub,17,26,0,0,1,0.02168097533285618,0.8495681881904602,0.8495681881904602,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Ferrán Torres,4,2024,27012,148,6441,Sub,17,14,1,0,1,0.4119284749031067,0.8495681881904602,0.0,1,0.4376397430896759,1,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Iñigo Martínez,4,2024,27012,148,2484,DC,3,90,0,0,1,0.05855296924710274,1.991595983505249,1.991595983505249,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Jules Koundé,4,2024,27012,148,6433,DR,2,90,1,0,1,0.09579724818468094,0.0487251915037632,0.0487251915037632,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Lamine Yamal,4,2024,27012,148,11527,FWR,14,90,0,0,0,0.0,1.7269953489303589,0.4644302725791931,2,1.2893556356430054,4,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Marc Casadó,4,2024,27012,148,11151,MC,9,64,0,0,0,0.0,1.4992579221725464,1.4992579221725464,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Marc-André ter Stegen,4,2024,27012,148,2090,GK,1,90,0,0,0,0.0,0.3647659420967102,0.3647659420967102,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Pablo Torre,4,2024,27012,148,11025,Sub,17,3,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Pau Cubarsí,4,2024,27012,148,12005,DC,3,64,0,0,1,0.06342632323503494,1.0233244895935059,1.0233244895935059,1,0.30838659405708313,1,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Pedri,4,2024,27012,148,8935,MC,9,64,0,0,0,0.0,0.8228028416633606,0.7412676811218262,0,0.10346981137990952,3,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Raphinha,4,2024,27012,148,8026,FWL,16,90,3,0,6,2.269862651824951,3.197744846343994,0.515953779220581,1,0.49703577160835266,3,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Robert Lewandowski,4,2024,27012,148,227,FW,15,76,1,0,6,1.0084035396575928,2.0392568111419678,0.0,1,1.290103554725647,4,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Sergi Domínguez,4,2024,27012,148,12823,Sub,17,26,0,0,0,0.0,0.8495681881904602,0.8495681881904602,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Barcelona,Álex Balde,4,2024,27012,148,9805,DL,4,90,0,0,0,0.0,0.9327381253242493,0.9327381253242493,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Cenk Özkacar,4,2024,27012,231,9015,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-31 Barcelona-Real Valladolid,Real Valladolid,Chuki,4,2024,27012,231,12896,Sub,17,30,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
