league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,4,2025,29284,2025-11-22 15:15:00,148,147,Barcelona,Athletic Club,ATH,BAR,4,0,2.32922,1.04615,True,True,https://understat.com/match/29284
ESP-La Liga,2526,2025-11-29 Barcelona-Alaves,4,2025,29294,2025-11-29 15:15:00,148,158,Barcelona,Alaves,ALA,BAR,3,1,2.51096,2.09256,True,True,https://understat.com/match/29294
ESP-La Liga,2526,2025-12-02 Barcelona-Atletico Madrid,4,2025,29342,2025-12-02 20:00:00,148,143,Barcelona,Atletico Madrid,ATL,BAR,3,1,3.46121,1.35018,True,True,https://understat.com/match/29342
ESP-La Liga,2526,2025-12-06 Real Betis-Barcelona,4,2025,29302,2025-12-06 17:30:00,153,148,Real Betis,Barcelona,BAR,BET,3,5,2.74214,3.30288,True,True,https://understat.com/match/29302
ESP-La Liga,2526,2025-12-13 Barcelona-Osasuna,4,2025,29310,2025-12-13 17:30:00,148,157,Barcelona,Osasuna,OSA,BAR,2,0,2.14468,0.228217,True,True,https://understat.com/match/29310
ESP-La Liga,2526,2025-12-21 Villarreal-Barcelona,4,2025,29325,2025-12-21 15:15:00,154,148,Villarreal,Barcelona,BAR,VIL,0,2,2.16466,3.27381,True,True,https://understat.com/match/29325
ESP-La Liga,2526,2026-01-03 Espanyol-Barcelona,4,2025,29333,2026-01-03 20:00:00,141,148,Espanyol,Barcelona,BAR,ESP,0,2,1.79661,2.94252,True,True,https://understat.com/match/29333
ESP-La Liga,2526,2026-01-18 Real Sociedad-Barcelona,4,2025,29350,2026-01-18 20:00:00,140,148,Real Sociedad,Barcelona,BAR,SOC,2,1,1.55875,3.92031,True,True,https://understat.com/match/29350
ESP-La Liga,2526,2026-01-25 Barcelona-Real Oviedo,4,2025,29361,2026-01-25 15:15:00,148,289,Barcelona,Real Oviedo,OVI,BAR,3,0,2.59917,0.486404,True,True,https://understat.com/match/29361
ESP-La Liga,2526,2026-01-31 Elche-Barcelona,4,2025,29373,2026-01-31 20:00:00,207,148,Elche,Barcelona,BAR,ELC,1,3,0.839,7.11049,True,True,https://understat.com/match/29373
ESP-La Liga,2526,2026-02-07 Barcelona-Mallorca,4,2025,29381,2026-02-07 15:15:00,148,239,Barcelona,Mallorca,MAL,BAR,3,0,2.48168,1.01087,True,True,https://understat.com/match/29381
ESP-La Liga,2526,2026-02-16 Girona-Barcelona,4,2025,29395,2026-02-16 20:00:00,223,148,Girona,Barcelona,BAR,GIR,2,1,2.8897,2.69655,True,True,https://understat.com/match/29395
ESP-La Liga,2526,2026-02-22 Barcelona-Levante,4,2025,29401,2026-02-22 15:15:00,148,151,Barcelona,Levante,LEV,BAR,3,0,4.24402,0.602552,True,True,https://understat.com/match/29401
ESP-La Liga,2526,2026-02-28 Barcelona-Villarreal,4,2025,29408,2026-02-28 15:15:00,148,154,Barcelona,Villarreal,VIL,BAR,4,1,3.54743,1.36182,True,True,https://understat.com/match/29408
ESP-La Liga,2526,2026-03-07 Athletic Club-Barcelona,4,2025,29418,2026-03-07 20:00:00,147,148,Athletic Club,Barcelona,BAR,ATH,0,1,1.04698,0.560009,True,True,https://understat.com/match/29418
ESP-La Liga,2526,2026-03-15 Barcelona-Sevilla,4,2025,29430,2026-03-15 15:15:00,148,138,Barcelona,Sevilla,SEV,BAR,5,2,3.8639,1.04304,True,True,https://understat.com/match/29430
ESP-La Liga,2526,2026-03-22 Barcelona-Rayo Vallecano,4,2025,29441,2026-03-22 13:00:00,148,145,Barcelona,Rayo Vallecano,RVL,BAR,1,0,1.92205,2.19631,True,True,https://understat.com/match/29441
ESP-La Liga,2526,2026-04-04 Atletico Madrid-Barcelona,4,2025,29449,2026-04-04 19:00:00,143,148,Atletico Madrid,Barcelona,BAR,ATL,1,2,0.919286,2.68584,True,True,https://understat.com/match/29449
ESP-La Liga,2526,2026-04-11 Barcelona-Espanyol,4,2025,29459,2026-04-11 16:30:00,148,141,Barcelona,Espanyol,ESP,BAR,4,1,3.30789,1.13134,True,True,https://understat.com/match/29459
ESP-La Liga,2526,2026-04-22 Barcelona-Celta Vigo,4,2025,29479,2026-04-22 19:30:00,148,152,Barcelona,Celta Vigo,CEL,BAR,1,0,1.54451,1.07392,True,True,https://understat.com/match/29479
ESP-La Liga,2526,2026-04-25 Getafe-Barcelona,4,2025,29469,2026-04-25 14:15:00,142,148,Getafe,Barcelona,BAR,GET,0,2,0.607664,2.05171,True,True,https://understat.com/match/29469
ESP-La Liga,2526,2026-05-02 Osasuna-Barcelona,4,2025,29488,2026-05-02 19:00:00,157,148,Osasuna,Barcelona,BAR,OSA,1,2,1.28813,1.56763,True,True,https://understat.com/match/29488
ESP-La Liga,2526,2026-05-10 Barcelona-Real Madrid,4,2025,29500,2026-05-10 19:00:00,148,150,Barcelona,Real Madrid,RMA,BAR,2,0,1.72002,0.562101,True,True,https://understat.com/match/29500
ESP-La Liga,2526,2026-05-13 Alaves-Barcelona,4,2025,29508,2026-05-13 19:30:00,158,148,Alaves,Barcelona,BAR,ALA,1,0,0.95347,0.356356,True,True,https://understat.com/match/29508
ESP-La Liga,2526,2026-05-17 Barcelona-Real Betis,4,2025,29519,2026-05-17 17:00:00,148,153,Barcelona,Real Betis,BET,BAR,3,1,1.59946,0.985477,True,True,https://understat.com/match/29519
ESP-La Liga,2526,2026-05-23 Valencia-Barcelona,4,2025,29534,2026-05-23 19:00:00,146,148,Valencia,Barcelona,BAR,VAL,3,1,1.83367,1.29336,True,True,https://understat.com/match/29534
