,,,players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url,Playing Time
,,,Unnamed: 3_level_1,MP,Starts,Min,Unnamed: 7_level_1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Unnamed: 23_level_1,90s
league,season,team,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Metz,2,34,34,3060,34.0,76,2.24,197,121,61.4,3,8,23,7,20.6,8,7,1,0,12.5,/en/squads/f83960ae/2025-2026/Metz-Stats,
FRA-Ligue 1,2526,Monaco,2,34,34,3060,34.0,54,1.59,147,93,63.3,16,6,12,7,20.6,5,4,0,1,0.0,/en/squads/fd6114db/2025-2026/Monaco-Stats,
FRA-Ligue 1,2526,Nantes,2,33,33,2970,33.0,52,1.58,160,108,67.5,5,8,20,7,21.2,5,5,0,0,0.0,/en/squads/d7a486cd/2025-2026/Nantes-Stats,
FRA-Ligue 1,2526,Nice,2,34,34,3060,34.0,60,1.76,171,111,64.9,7,11,16,6,17.6,10,8,1,1,11.1,/en/squads/132ebc33/2025-2026/Nice-Stats,
FRA-Ligue 1,2526,PSG,3,34,34,3060,34.0,29,0.85,104,75,72.1,24,4,6,18,52.9,4,1,2,1,66.7,/en/squads/e2d8892c/2025-2026/Paris-Saint-Germain-Stats,
FRA-Ligue 1,2526,Paris FC,2,34,34,3060,34.0,50,1.47,134,82,62.7,11,11,12,8,23.5,12,8,2,2,20.0,/en/squads/056a5a75/2025-2026/Paris-FC-Stats,
FRA-Ligue 1,2526,Rennes,2,34,34,3060,34.0,50,1.47,143,92,65.0,17,8,9,10,29.4,6,4,2,0,33.3,/en/squads/b3072e00/2025-2026/Rennes-Stats,
FRA-Ligue 1,2526,Strasbourg,2,34,34,3060,34.0,47,1.38,156,109,69.9,15,8,11,9,26.5,5,4,1,0,20.0,/en/squads/c0d3eab4/2025-2026/Strasbourg-Stats,
FRA-Ligue 1,2526,Toulouse,2,33,33,2970,33.0,46,1.39,131,85,64.9,12,8,13,9,27.3,5,5,0,0,0.0,/en/squads/3f8c4b5f/2025-2026/Toulouse-Stats,
ITA-Serie A,2425,Atalanta,3,38,38,3420,38.0,37,0.97,149,112,75.2,22,8,8,15,39.5,2,2,0,0,0.0,/en/squads/922493f3/2024-2025/Atalanta-Stats,
ITA-Serie A,2425,Bologna,2,38,38,3420,38.0,47,1.24,106,60,55.7,16,14,8,12,31.6,3,2,1,0,33.3,/en/squads/1d8099f8/2024-2025/Bologna-Stats,
ITA-Serie A,2425,Cagliari,4,38,38,3420,38.0,56,1.47,153,97,63.4,9,9,20,7,18.4,6,6,0,0,0.0,/en/squads/c4260e09/2024-2025/Cagliari-Stats,
ITA-Serie A,2425,Como,3,38,38,3420,38.0,52,1.37,143,91,63.6,13,10,15,7,18.4,7,7,0,0,0.0,/en/squads/28c9c3cd/2024-2025/Como-Stats,
ITA-Serie A,2425,Empoli,3,38,38,3420,38.0,59,1.55,158,99,62.7,6,13,19,6,15.8,3,1,1,1,50.0,/en/squads/a3d88bd8/2024-2025/Empoli-Stats,
ITA-Serie A,2425,Fiorentina,2,38,38,3420,38.0,41,1.08,148,106,72.3,19,8,11,12,31.6,3,1,2,0,66.7,/en/squads/421387cf/2024-2025/Fiorentina-Stats,
ITA-Serie A,2425,Genoa,4,38,38,3420,38.0,49,1.29,158,110,69.0,10,13,15,11,28.9,8,6,2,0,25.0,/en/squads/658bf2de/2024-2025/Genoa-Stats,
ITA-Serie A,2425,Hellas Verona,2,38,38,3420,38.0,66,1.74,172,106,61.6,10,7,21,8,21.1,4,2,1,1,33.3,/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats,
ITA-Serie A,2425,Inter,2,38,38,3420,38.0,35,0.92,130,95,73.1,24,9,5,16,42.1,4,3,1,0,25.0,/en/squads/d609edc0/2024-2025/Internazionale-Stats,
ITA-Serie A,2425,Juventus,2,38,38,3420,38.0,35,0.92,119,84,70.6,18,16,4,17,44.7,5,5,0,0,0.0,/en/squads/e0652b02/2024-2025/Juventus-Stats,
ITA-Serie A,2425,Lazio,2,38,38,3420,38.0,49,1.29,119,72,58.8,18,11,9,9,23.7,4,4,0,0,0.0,/en/squads/7213da33/2024-2025/Lazio-Stats,
ITA-Serie A,2425,Lecce,1,38,38,3420,38.0,58,1.53,181,125,68.0,8,10,20,9,23.7,10,8,1,1,11.1,/en/squads/ffcbe334/2024-2025/Lecce-Stats,
ITA-Serie A,2425,Milan,2,38,38,3420,38.0,43,1.13,144,101,70.1,18,9,11,13,34.2,2,1,1,0,50.0,/en/squads/dc56fe14/2024-2025/Milan-Stats,
ITA-Serie A,2425,Monza,3,38,38,3420,38.0,69,1.82,183,115,62.3,3,9,26,3,7.9,4,2,2,0,50.0,/en/squads/21680aa4/2024-2025/Monza-Stats,
ITA-Serie A,2425,Napoli,3,38,38,3420,38.0,27,0.71,96,69,71.9,24,10,4,19,50.0,4,1,2,1,66.7,/en/squads/d48ad4ff/2024-2025/Napoli-Stats,
ITA-Serie A,2425,Parma,2,38,38,3330,38.0,58,1.57,158,102,63.3,7,15,16,7,18.4,5,5,0,0,0.0,/en/squads/eab4234c/2024-2025/Parma-Stats,
ITA-Serie A,2425,Roma,1,38,38,3420,38.0,35,0.92,151,117,76.8,20,9,9,16,42.1,4,4,0,0,0.0,/en/squads/cf74a709/2024-2025/Roma-Stats,
