player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_bigChancesCreated,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_wasFouled,ss_dispossessed,ss_possessionLost,ss_successfulDribbles,ss_touches,ss_aerialDuelsWon,ss_totalDuelsWon,ss_minutesPlayed,season_nineties,age,league,team,seasons,fifa_value_eur,fifa_contract_end,fifa_pace,fifa_release_clause_eur,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,fifa_best_position,fifa_defensive_work_rate,fifa_stamina,fifa_aggression,pos,team_poss,np_xg_p90,npxg_per_shot,xa_p90,xg_chain_p90,key_passes_p90,big_chances_created_p90,press_won_att3rd_p90,ball_recov_p90,fouled_p90,dispossessed_p90,dribbles_p90,box_shot_share,np_g_minus_xg,FINISH,LINK,PRESS,HOLDUP,SPACE,gates_passed,score,role
Casper Tengstedt,4.810324747115374,1.2589485691860318,7.137801101431251,38.0,5.0,33.0,38.0,2.0,12.0,11.0,37.0,9.0,6.0,155.0,9.0,483.0,20.0,45.0,1531.0,16.9,24.0,ITA-Serie A,Hellas Verona,1,,,,,24.691358024691,43.859649122807,69.395017793594,,,,,FW,39.45,0.28463460042102806,0.1265874933451414,0.07449399817668828,0.42235509475924565,0.7100591715976332,0.1183431952662722,0.6508875739644971,2.1893491124260356,0.5325443786982249,0.3550295857988166,0.5325443786982249,0.868421052631579,0.1896752528846264,-0.13775820894218793,-0.7161424951824296,0.10258974549515826,-0.6208520433796478,-0.2754649851223752,1,-0.32740478120742617,?
Nikola Vlašić,5.464600257575512,7.3221385050565,22.757305713370442,80.0,6.0,34.0,81.0,8.0,86.0,33.0,274.0,71.0,90.0,630.0,52.0,2786.0,51.0,276.0,5181.0,57.3,27.0,ITA-Serie A,Torino,2,22500000.0,2027.0,74.0,38300000.0,43.132183908046,47.309467522233504,83.0491760736995,CAM,,76.0,75.0,"MF,FW",45.8,0.09536824184250457,0.0683075032196939,0.12778601230465098,0.39716065817400426,1.5008726003490402,0.13961605584642234,0.5759162303664922,4.781849912739966,1.2390924956369984,1.5706806282722514,0.9075043630017452,0.41975308641975306,0.5353997424244881,-1.35622706033622,-0.2101395727988076,0.5220627523170943,0.1455263053550084,-0.42229545421497755,3,-0.32869448014933345,wide/AM
Arthur Atta,5.778392489999533,4.999579049646854,19.33616640418768,83.0,5.0,46.0,83.0,7.0,52.0,21.0,168.0,46.0,88.0,642.0,90.0,2549.0,35.0,216.0,3809.0,42.3,22.0,ITA-Serie A,Udinese,2,9500000.0,2029.0,72.0,19000000.0,44.451871657754,44.3439278428,82.7697159762545,CAM,,74.0,68.0,"MF,FW",46.400000000000006,0.13660502340424427,0.06961918662650039,0.11819335814767978,0.45711977314864494,1.2293144208037825,0.16548463356973997,0.4964539007092199,3.9716312056737593,1.0874704491725768,2.080378250591017,2.127659574468085,0.5542168674698795,-0.7783924899995327,-1.1925540018030625,-0.24998550360477112,0.08907421594123496,-0.07848439118928807,0.1275668645598802,3,-0.3354576621581226,wide/AM
Javier Guerra,5.314633180387318,6.926134677603841,22.578061632812023,78.0,7.0,34.0,78.0,12.0,55.0,28.0,275.0,50.0,89.0,793.0,55.0,3190.0,31.0,215.0,4679.0,51.599999999999994,22.0,ESP-La Liga,Valencia,2,17000000.0,2029.0,74.0,39100000.0,50.2116402116405,39.351378958120506,80.9809610745255,CAM,,74.0,73.0,"MF,FW",48.05,0.10299676706176975,0.06813632282547843,0.1342274162326326,0.4375593339692253,1.0658914728682172,0.23255813953488375,0.5426356589147288,5.329457364341086,0.9689922480620156,1.7248062015503878,1.0658914728682172,0.4358974358974359,1.6853668196126819,-1.3296487108479758,-0.2108433967207453,0.5594836131202308,-0.08468829313187806,-0.3312194025257853,3,-0.3356124586167836,wide/AM
Tim Skarke,2.7940087281167507,2.9028956098482013,8.291639303788543,34.0,1.0,17.0,32.0,3.0,26.0,8.0,83.0,24.0,26.0,255.0,15.0,788.0,17.0,74.0,1733.0,19.8,28.0,GER-Bundesliga,Union Berlin,2,3100000.0,2030.0,87.0,5600000.0,20.8333333333335,42.8052325581395,71.0717610035015,ST,,71.0,53.0,"MF,FW",40.1,0.14111155192508842,0.08217672729755149,0.14661088938627279,0.41876966180750214,1.3131313131313131,0.15151515151515152,0.40404040404040403,4.191919191919192,1.2121212121212122,1.3131313131313131,0.7575757575757576,0.53125,-1.7940087281167507,-1.0636724951658998,-0.1481108713124219,-0.12773813127545397,-0.5272568540689588,0.4778907805613838,2,-0.3358983789008075,CF
Henrik Meister,5.431095716543496,1.0261001698672771,7.806203553453088,22.0,3.0,19.0,20.0,1.0,5.0,6.0,29.0,17.0,26.0,160.0,13.0,378.0,33.0,68.0,1512.0,17.5,21.0,FRA-Ligue 1,Rennes,2,2900000.0,2028.0,72.0,5800000.0,42.307692307692,31.25,64.102564102564,ST,,60.0,73.0,FW,52.2,0.3103483266596283,0.24686798711561345,0.05863429542098727,0.4460687744830336,0.2857142857142857,0.05714285714285714,0.34285714285714286,1.6571428571428573,0.9714285714285714,1.4857142857142858,0.7428571428571429,0.95,-2.4310957165434957,1.0324105492293711,-0.9476604117569287,-0.9324589510831016,-0.4817629324661857,-0.668724815659833,0,-0.33787741806741256,CF
Dany Mota,4.940644808113575,1.9611132070422173,9.050512425601482,42.0,5.0,36.0,42.0,3.0,22.0,11.0,61.0,36.0,29.0,273.0,13.0,891.0,62.0,122.0,2111.0,23.4,26.0,ITA-Serie A,Monza,1,,,,,46.268656716418,42.253521126761,75.954198473282,,,,,"MF,FW",48.5,0.21113866701340064,0.11763440019318036,0.08380825671120587,0.3867740352821147,0.9401709401709403,0.12820512820512822,0.47008547008547014,2.606837606837607,1.5384615384615385,1.2393162393162394,0.5555555555555556,0.8571428571428571,0.05935519188642502,-0.4886181445102664,-0.634173116467367,-0.32492023983980084,0.30225395994156473,-0.26223305523455653,1,-0.3396787275063172,?
Gauthier Hein,3.4557200483977795,4.457953127101064,9.394331835210323,44.0,3.0,27.0,44.0,7.0,58.0,15.0,99.0,17.0,36.0,356.0,9.0,1847.0,7.0,51.0,2354.0,26.1,28.0,FRA-Ligue 1,Metz,1,7500000.0,2028.0,77.0,15000000.0,35.0,34.375,89.825783972125,CAM,,74.0,63.0,"MF,FW",48.9,0.13240306698842066,0.07853909200904044,0.17080280180463844,0.35993608564024226,2.2222222222222223,0.2681992337164751,0.5747126436781609,3.7931034482758617,0.6513409961685823,1.379310344827586,0.3448275862068965,0.6136363636363636,-0.45572004839777946,-1.128284588588813,0.2806353903830782,0.27465589220177167,-0.7396937561093391,-0.5182164909761446,2,-0.3456676581739019,wide/AM
Rafa Mir,9.31771088205278,2.6447448674589396,14.425982078537345,96.0,8.0,68.0,96.0,5.0,13.0,16.0,55.0,23.0,33.0,270.0,7.0,1008.0,31.0,89.0,2558.0,28.4,28.0,ESP-La Liga,Valencia,2,6000000.0,,84.0,0.0,33.480392156863,34.6491228070175,76.71875,ST,,69.0,67.0,"FW,MF",48.05,0.3280884113398866,0.09705948835471645,0.09312481927672323,0.5079571154414558,0.45774647887323944,0.17605633802816903,0.5633802816901409,1.9366197183098592,0.8098591549295775,1.1619718309859155,0.24647887323943662,0.7083333333333334,-1.3177108820527792,-0.2416520059329017,-0.5587386667662683,-0.2164977966982567,-0.644577355537088,-0.043631518477449394,1,-0.34662855861662445,CF
Juanmi Latasa,4.549709668383002,0.5770094022154808,6.718333991244435,40.0,3.0,38.0,40.0,0.0,13.0,5.0,24.0,36.0,18.0,165.0,8.0,453.0,96.0,138.0,1403.0,15.5,23.0,ESP-La Liga,Valladolid,1,,,,,61.538461538462,41.176470588235,60.236220472441,,,,,FW,42.8,0.2935296560247098,0.11374274170957506,0.037226413046160055,0.4334409026609313,0.8387096774193549,0.0,0.3225806451612903,1.5483870967741935,2.3225806451612905,1.1612903225806452,0.5161290322580645,0.95,-1.5497096683830023,-0.21982677081353874,-0.9147619855173382,-1.0187761229101635,1.1160115705742786,-0.28490416828658877,1,-0.3627363033215985,?
