player,ss_accuratePasses,ss_totalPasses,ss_accurateOwnHalfPasses,ss_accurateOppositionHalfPasses,ss_accurateFinalThirdPasses,ss_accurateLongBalls,ss_clearances,ss_interceptions,ss_blockedShots,ss_tackles,ss_tacklesWon,ss_aerialDuelsWon,ss_groundDuelsWon,ss_successfulDribbles,ss_errorLeadToShot,ss_errorLeadToGoal,ss_dribbledPast,ss_fouls,ss_ballRecovery,ss_accuratePasses_adj,ss_totalPasses_adj,ss_accurateOwnHalfPasses_adj,ss_accurateOppositionHalfPasses_adj,ss_accurateFinalThirdPasses_adj,ss_accurateLongBalls_adj,ss_clearances_adj,ss_interceptions_adj,ss_blockedShots_adj,ss_tackles_adj,ss_tacklesWon_adj,ss_aerialDuelsWon_adj,ss_groundDuelsWon_adj,ss_successfulDribbles_adj,ss_errorLeadToShot_adj,ss_errorLeadToGoal_adj,ss_dribbledPast_adj,ss_fouls_adj,ss_ballRecovery_adj,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_sprint_speed,fifa_acceleration,fifa_best_position,fifa_height,fifa_defensive_awareness,fifa_composure,fifa_overall_rating,fifa_potential,ss_accuratePassesPercentage,ss_accurateLongBallsPercentage,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_totalDuelsWonPercentage,ss_tacklesWonPercentage,ss_accuratePasses_p90,ss_accurateOwnHalfPasses_p90,ss_accurateOppositionHalfPasses_p90,ss_accurateFinalThirdPasses_p90,ss_accurateLongBalls_p90,ss_clearances_p90,ss_interceptions_p90,ss_blockedShots_p90,ss_aerialDuelsWon_p90,ss_successfulDribbles_p90,ss_errorLeadToShot_p90,ss_dribbledPast_p90,ss_fouls_p90,ss_ballRecovery_p90,ss_tackles_p90,is_cb,BUILD,PROGRESS,AERIAL,DUEL,PACE,SECURE,FIT,FLOOR,thin
Leonardo Balerdi,3736.0,4006.0,2463.0,1273.0,295.0,142.0,173.0,65.0,7.0,103.0,67.0,80.0,175.0,32.0,2.0,3.0,45.0,51.0,280.0,3001.6076393788235,3220.1676114906086,1980.2022144570515,1021.4054249217719,237.4533660909189,115.48443323013586,211.1390593047035,80.71779141104295,8.680981595092025,127.11860940695297,83.17995910020451,98.48670756646217,216.39059304703477,25.559183605713763,1.5450236966824644,2.40141599090313,55.081799591002046,63.10224948875256,347.3660531697342,47.5,47.5,26.0,FRA-Ligue 1,Marseille,DF,2,24500000.0,48400000.0,2028.0,77.0,83.0,69.0,CB,"187cm 6'2""",83.0,76.0,80.0,83.0,93.01475914523749,54.6519886363635,59.5238095238095,58.306494900698,58.5714285714285,64.6825396825395,63.19173977639628,41.68846767278003,21.50327210361625,4.99901823349303,2.431251225897597,4.4450328274674415,1.6993219244430096,0.18275750726509526,2.073404369820256,0.5380880759097634,0.03252681466699925,1.1596168334947798,1.3284684102895277,7.312969540415456,2.6761812506726943,True,94.0,79.0,51.0,60.0,79.0,44.0,69.7,44.0,False
Dayot Upamecano,3322.0,3557.0,1672.0,1652.0,497.0,132.0,97.0,53.0,4.0,80.0,50.0,94.0,102.0,7.0,2.0,1.0,22.0,35.0,236.0,2398.943897889053,2568.7060906561937,1207.4813811160202,1192.9028702340042,358.9350155457372,95.31085583374244,134.2638036809816,73.43762781186095,5.537832310838446,110.72392638036808,69.19836400817996,130.24539877300612,141.19836400817996,5.058307969235804,1.448888888888889,0.7201767304860088,30.474437627811866,48.47648261758692,326.70756646216773,39.4,39.4,26.0,GER-Bundesliga,Bayern Munich,DF,2,74000000.0,127700000.0,2030.0,77.0,78.0,76.0,CB,"186cm 6'1""",86.0,77.0,86.0,88.0,93.3395724236655,63.736467104654494,57.745098039216,56.6489690085195,57.341978433479994,62.3737373737375,60.886900961651094,30.646735561320313,30.276722594771684,9.110025775272518,2.419057254663514,3.407710753324406,1.863899183042156,0.14055411956442757,3.3057207810407645,0.1283834509958326,0.03677382966723068,0.7734628839546159,1.2303675791265716,8.292070214775832,2.8102519385880225,True,90.0,81.0,62.0,48.0,80.0,48.0,69.4,48.0,False
Alessandro Bastoni,3459.0,3884.0,1918.0,1569.0,721.0,247.0,126.0,45.0,5.0,97.0,63.0,98.0,167.0,13.0,1.0,0.0,20.0,89.0,196.0,2838.6509746292354,3187.2471875950137,1574.2845174149522,1287.4169622647883,591.5240870240871,202.73266105874802,153.70961145194275,54.850715746421265,6.098159509202453,118.24539877300614,76.84662576687117,119.4683026584867,203.48875255623722,10.66898077767643,0.8232323232323232,0.0,24.376278118609406,108.47852760736195,238.9038854805726,51.599999999999994,51.599999999999994,26.0,ITA-Serie A,Inter,DF,2,87000000.0,150100000.0,2028.0,74.0,77.0,71.0,CB,"190cm 6'3""",87.0,85.0,87.0,89.0,88.985383613702,54.2485757063135,64.955908289242,57.31031543052,59.945328337121495,64.322250639386,55.01261578738829,30.509389872382798,24.949941129162564,11.46364509736603,3.928927539898218,2.978868438991139,1.0629983671787069,0.11818138583725686,2.3152771833040062,0.2067631933658223,0.015954114791324095,0.472408490670725,2.102297046654302,4.629920261251407,2.2915774956008943,True,74.0,86.0,71.0,60.0,70.0,57.0,69.1,57.0,False
Yann Aurel Bisseck,2362.0,2553.0,1407.0,957.0,371.0,47.0,137.0,39.0,10.0,44.0,31.0,87.0,78.0,11.0,1.0,1.0,13.0,37.0,136.0,1937.855849464545,2094.5700989831425,1154.4167595689337,785.0855545420762,304.27382520860783,38.54874835309618,167.02249488752557,47.55419222903886,12.212678936605316,53.668711656441715,37.8118609406953,106.0,95.15746421267895,9.01150298976386,0.8177257525083613,0.8232323232323232,15.856850715746422,45.11656441717791,165.77505112474438,39.7,39.7,24.0,ITA-Serie A,Inter,DF,2,9500000.0,16399999.999999998,2029.0,76.0,76.0,75.0,CB,"196cm 6'5""",74.0,76.0,76.0,80.0,92.5160463391755,46.670653907496,69.42307692307699,50.9897360703815,59.988827410087,70.479302832244,48.812489910945715,29.078507797706138,19.775454774359602,7.664328090896922,0.9710012179621204,4.207115740239939,1.1978385951898958,0.3076241545744412,2.6700251889168762,0.22698999974216272,0.020597626007767288,0.3994168946031844,1.1364373908609045,4.175693982991042,1.3518567167869449,True,71.0,78.0,87.0,51.0,76.0,54.0,68.8,51.0,False
Willian Pacho,3464.0,3648.0,2449.0,1015.0,169.0,72.0,155.0,64.0,2.0,96.0,58.0,65.0,112.0,3.0,2.0,0.0,17.0,26.0,229.0,2477.5693399452803,2609.1845930232557,1751.377582079343,726.191757865937,120.8953830369357,51.4921682626539,216.62167689161555,89.39059304703477,2.8139059304703475,134.15132924335379,81.079754601227,90.97750511247443,156.5153374233129,2.1489911080711352,1.4298734610123118,0.0,23.770961145194274,36.25357873210634,320.2453987730062,45.0,45.0,23.0,FRA-Ligue 1,PSG,DF,2,105500000.0,203100000.0,2029.0,80.0,85.0,74.0,CB,"188cm 6'2""",91.0,81.0,88.0,90.0,94.9616519352295,50.440917107584,54.4886363636365,67.57462686567149,62.0019699581385,61.0714285714285,55.05709644322845,38.9195018239854,16.137594619243046,2.68656406748746,1.1442704058367532,4.813815042035901,1.9864576232674394,0.06253124289934106,2.021722335832765,0.04775535795713634,0.0317749658002736,0.5282435810043172,0.8056350829356964,7.116564417177915,2.9811406498523065,True,89.0,30.0,36.0,76.0,88.0,66.0,68.8,30.0,False
Ezri Konsa,3526.0,3731.0,2347.0,1179.0,335.0,94.0,229.0,47.0,6.0,56.0,26.0,63.0,157.0,16.0,6.0,2.0,9.0,20.0,205.0,3298.7074285082135,3491.7306598816303,2195.4916201117317,1103.215808396482,314.17283035566123,87.5019414790641,244.47648261758692,50.04294478527608,6.4580777096114526,59.27198364008181,27.374233128834362,67.1554192229039,166.5869120654397,15.031450854582662,5.636794070468499,1.878931356822833,9.556237218813907,21.374233128834362,218.77505112474438,66.30000000000001,66.30000000000001,27.0,ENG-Premier League,Aston Villa,DF,2,42500000.0,83900000.0,2028.0,75.0,78.0,72.0,CB,"185cm 6'1""",86.0,82.0,84.0,85.0,94.36790469680099,53.4166666666665,56.7532467532465,73.95409776813949,68.0398056005555,44.652406417112,49.754259856835795,33.11450407408343,16.639755782752367,4.738655058154769,1.3197879559436514,3.687428093779591,0.7547955472892318,0.09740690361404904,1.0129022507225323,0.22671871575539457,0.08501951840827297,0.144136307976077,0.3223866233610009,3.2997745267683913,0.8939967366528174,True,84.0,59.0,26.0,71.0,73.0,78.0,68.2,26.0,False
Oumar Solet,2830.0,3170.0,1830.0,1002.0,376.0,249.0,200.0,65.0,8.0,108.0,72.0,70.0,215.0,66.0,4.0,3.0,31.0,47.0,262.0,2999.2508920606597,3359.603033006244,1937.4243978590544,1063.8985280999107,399.61173059768055,263.45729259589655,188.95705521472394,61.16973415132925,7.460122699386503,101.79141104294479,67.76278118609409,65.93047034764827,202.84662576687117,69.86752899197145,4.216770740410348,3.144402319357716,29.202453987730067,44.38445807770961,247.32924335378323,51.5,51.5,25.0,ITA-Serie A,Udinese,DF,2,18500000.0,34700000.0,2027.0,79.0,86.0,70.0,CB,"192cm 6'4""",80.0,70.0,78.0,83.0,89.284040270672,63.0577427821525,51.5641569459175,62.9618226600985,59.849310094408,64.1212121212125,58.23788139923611,37.61989122056416,20.658223846600208,7.759451079566612,5.115675584386341,3.6690690332956106,1.1877618281811506,0.1448567514443981,1.2802033077213255,1.3566510483877952,0.08187904350311355,0.5670379415093217,0.8618341374312546,4.802509579685111,1.9765322532610639,True,86.0,90.0,18.0,71.0,84.0,46.0,68.0,18.0,False
Kevin Diks,1436.0,1606.0,980.0,456.0,152.0,82.0,132.0,24.0,2.0,43.0,25.0,49.0,75.0,10.0,2.0,1.0,11.0,15.0,131.0,1503.6488222698072,1681.6573875802997,1026.1670235546037,477.4817987152034,159.16059957173445,85.86295503211991,126.06134969325154,22.92024539877301,1.9100204498977509,41.06543967280164,23.875255623721884,46.79550102249489,71.62576687116565,10.471092077087794,2.0942184154175587,1.0471092077087794,10.50511247443763,14.32515337423313,125.10633946830266,27.4,27.4,28.0,GER-Bundesliga,Gladbach,DF,1,7000000.0,12400000.0,2030.0,74.0,72.0,76.0,CB,"182cm 6'0""",76.0,73.0,76.0,77.0,89.414694894147,51.898734177215,59.756097560976,68.807339449541,64.921465968586,58.139534883721,54.87769424342362,37.45135122462057,17.426343018803045,5.808781006267681,3.1336844902233545,4.600779185885093,0.8365053065245625,0.06970877554371353,1.7078650008209815,0.3821566451491896,0.07643132902983792,0.38339826549042444,0.5228158165778515,4.565924798113236,1.498738674189841,True,80.0,73.0,46.0,77.0,67.0,56.0,67.6,46.0,False
Marc Guéhi,3535.0,4050.0,2032.0,1506.0,600.0,190.0,320.0,78.0,14.0,107.0,65.0,172.0,190.0,19.0,2.0,2.0,27.0,49.0,284.0,3879.0908466190212,4449.048210249832,2235.5697422271087,1646.9486744853705,654.802791521593,211.13781992547797,290.4785276073619,71.439672801636,12.76073619631902,96.56850715746421,58.85685071574642,157.07361963190183,172.06748466257667,21.16779671370106,2.2850467289719627,2.130718954248366,24.32924335378323,44.47239263803681,257.32106339468305,69.0,54.0,25.0,ENG-Premier League,Crystal Palace,DF,2,48500000.0,93400000.0,2031.0,71.0,72.0,69.0,CB,"182cm 6'0""",86.0,80.0,84.0,86.0,86.89812035863949,43.353217331381,59.548061708861,62.474012474012,61.2768111939615,61.5645046329295,56.2187079220148,32.3995614815523,23.868821369353196,9.48989552929845,3.059968404717072,4.2098337334400275,1.0353575768353043,0.18493820574375391,2.276429270027563,0.3067796625174066,0.03311661926046323,0.35259772976497433,0.6445274295367653,3.729290773835986,1.3995435819922348,True,60.0,89.0,55.0,69.0,56.0,77.0,66.4,55.0,False
Nathan Aké,942.0,1028.0,485.0,457.0,196.0,19.0,53.0,8.0,3.0,17.0,12.0,31.0,26.0,1.0,2.0,0.0,4.0,5.0,41.0,754.9180872420994,823.9632455501478,388.6034142185648,366.3146730235346,157.219733882303,15.211803026678957,66.05930470347647,9.967280163599181,3.736196319018404,21.212678936605315,14.98159509202454,38.640081799591,32.396728016359916,0.7977161500815662,1.6033174680387325,0.0,4.989775051124743,6.231083844580777,51.1881390593047,15.2,15.2,30.0,ENG-Premier League,Manchester City,DF,2,25000000.0,46300000.0,2027.0,73.0,73.0,74.0,CB,"180cm 5'11""",83.0,78.0,82.0,82.0,91.535289837497,37.076923076922995,58.260869565217504,65.775401069519,61.4423076923075,70.138888888889,49.66566363434865,25.566014093326633,24.099649541022014,10.343403544888355,1.0007765149130894,4.3460068883866105,0.655742116026262,0.24580238940910556,2.5421106447099344,0.052481325663260935,0.10548141237096925,0.32827467441610153,0.4099397266171564,3.3676407275858358,1.3955709826714024,True,57.0,74.0,57.0,84.0,65.0,64.0,66.1,57.0,True
Joško Gvardiol,3246.0,3575.0,1344.0,1905.0,920.0,106.0,172.0,59.0,14.0,76.0,52.0,83.0,137.0,27.0,9.0,1.0,20.0,32.0,187.0,2596.767140296325,2860.0910073073524,1075.6157499106403,1523.5445388359299,735.4995471537877,84.85754828791882,214.86707566462167,73.77709611451942,17.501022494887525,95.05112474437628,65.02658486707566,103.69120654396727,171.4089979550102,21.55410638795349,7.195215686485296,0.7977161500815662,25.05930470347648,39.918200408997954,233.80572597137012,51.599999999999994,51.599999999999994,23.0,ENG-Premier League,Manchester City,DF,2,66000000.0,127100000.0,2028.0,79.0,79.0,78.0,CB,"185cm 6'1""",85.0,82.0,85.0,88.0,90.3874315403865,51.1306279022815,55.4834905660375,58.262495749745,57.4063482985415,69.7318007662835,50.32494457938615,20.84526647113644,29.52605695418469,14.253867192902865,1.64452612961083,4.164090613655459,1.4297886843899115,0.3391671026140994,2.0095195066660327,0.41771524007661803,0.13944216446676932,0.4856454399898543,0.7736085350581,4.531118720375391,1.842076060937525,True,67.0,96.0,39.0,61.0,85.0,47.0,66.1,39.0,False
Wesley Fofana,1863.0,2034.0,1206.0,657.0,202.0,44.0,181.0,54.0,3.0,32.0,22.0,96.0,82.0,18.0,3.0,0.0,12.0,51.0,135.0,1585.182136602452,1730.7435949579167,1026.1657586344004,559.0163779680514,171.9226083340668,37.41410217108238,212.93456032719837,63.54601226993866,3.5398773006134974,37.59918200408998,25.811860940695297,112.94478527607363,96.30265848670757,15.326008371096346,2.560271590174433,0.0,14.061349693251534,59.88343558282209,158.63190184049083,32.1,32.1,24.0,ENG-Premier League,Chelsea,DF,2,21500000.0,42500000.0,2029.0,77.0,78.0,76.0,CB,"185cm 6'1""",79.0,76.0,79.0,82.0,91.440006213002,46.212121212121005,67.245145631068,50.812693498452,57.9053558327215,72.46963562753,49.382621077958,31.96778064281621,17.414840435141787,5.355844496388374,1.1655483542393263,6.633475399601195,1.9796265504653787,0.11027655142098122,3.5185291363262814,0.47744574364786124,0.07975923956929698,0.4380482770483344,1.8655275882499092,4.94180379565392,1.1713140811242984,True,72.0,72.0,89.0,47.0,80.0,38.0,66.0,38.0,False
