player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_goalsFromInsideTheBox,ss_bigChancesCreated,ss_bigChancesMissed,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_tackles,ss_wasFouled,ss_dispossessed,ss_aerialDuelsWon,ss_successfulDribbles,ss_touches,ss_goals,fb_ast,us_np_xg_adj,us_xa_adj,us_xg_chain_adj,us_shots_adj,ss_shotsFromInsideTheBox_adj,ss_totalShots_adj,ss_bigChancesCreated_adj,ss_keyPasses_adj,ss_possessionWonAttThird_adj,ss_ballRecovery_adj,ss_tackles_adj,ss_wasFouled_adj,ss_dispossessed_adj,ss_aerialDuelsWon_adj,ss_successfulDribbles_adj,ss_touches_adj,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_acceleration,fifa_finishing,ss_topSpeed,ss_numberOfSprints,fifa_strength,fifa_composure,fifa_heading_accuracy,fifa_attack_position,fifa_best_position,fifa_overall_rating,fifa_potential,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,ss_goalConversionPercentage,npxg_p90,npxg_per_shot,shots_p90,box_shots_p90,box_share,press_p90,recov_p90,tackles_p90,fouled_p90,aerials_p90,disp_p90,xa_p90,chain_p90,keyp_p90,bcc_p90,dribbles_p90,np_g_minus_xg,sprints_p90,goals_p90,ga_p90,ss_shotsFromInsideTheBox_padj90,us_np_xg_padj90,ss_possessionWonAttThird_padj90,ss_ballRecovery_padj90,ss_tackles_padj90,ss_wasFouled_padj90,ss_dispossessed_padj90,us_xa_padj90,us_xg_chain_padj90,ss_keyPasses_padj90,ss_bigChancesCreated_padj90,ss_successfulDribbles_padj90,is_nine,FINISH,BOX,PRESS,HOLDUP,LINK,RUN,FIT,FLOOR,thin
Igor Thiago,0.0,0.0,0.0,0.0,0.0,82.0,86.0,22.0,6.0,20.0,26.0,16.0,105.0,43.0,29.0,44.0,119.0,32.0,1308.0,22.0,1,0.0,0.0,0.0,0.0,84.39964839028677,88.51754312712889,6.176842105263158,26.749122074497308,16.462982089880235,102.09202453987731,41.809815950920246,29.8289462696407,45.27964839028679,115.65030674846626,32.91736732227228,1345.7520712009668,38.4,38.4,24.0,ENG-Premier League,Brentford,FW,2,37500000.0,74100000.0,2031.0,74.0,72.0,85.0,36.01,932.0,87.0,83.0,82.0,84.0,ST,81.0,85.0,46.1670631773725,50.0,71.6402116402115,13.095238095238,0.0,,0.0,2.135416666666667,0.9534883720930233,0.4166666666666667,2.734375,1.1197916666666667,0.7552083333333334,3.0989583333333335,1.1458333333333335,0.0,0.0,0.6770833333333334,0.15625,0.8333333333333334,0.0,24.270833333333336,0.5729166666666667,0.5989583333333334,2.197907510163718,0.0,0.4287234919239645,2.6586464723926384,1.0887972903885481,0.7767954757718932,1.1791575101637184,0.0,0.0,0.696591720690034,0.16085526315789475,0.8572231073508406,True,67.0,55.0,38.0,57.0,12.0,78.0,49.3,12.0,False
Randy Nteka,6.007423131726682,0.8940387405455112,8.526375001296401,29.0,6.0,25.0,29.0,5.0,1.0,8.0,13.0,12.0,38.0,20.0,22.0,24.0,61.0,9.0,587.0,6.0,0,5.5970290933533215,0.841499828086472,7.959553834662204,27.015705273052653,23.29598510457528,27.015705273052653,0.9458413926499032,12.168647300204269,11.222805907554365,40.61758691206544,21.292433537832313,20.585751730870044,22.47743451616985,65.22903885480574,8.385281729604655,549.2898750881252,16.7,16.7,27.0,ESP-La Liga,Rayo Vallecano,FW,2,1700000.0,3600000.0,2028.0,71.0,65.0,66.0,33.34,73.0,88.0,65.0,72.0,67.0,ST,70.0,70.0,50.6144393241165,36.879699248120005,72.58796249621949,20.913461538461497,0.35972593603153785,0.20715252178367868,1.7365269461077846,1.4970059880239521,0.8620689655172413,0.718562874251497,2.2754491017964074,1.1976047904191618,1.3173652694610778,3.6526946107784433,1.437125748502994,0.05353525392488091,0.5105613773231378,0.7784431137724551,0.059880239520958084,0.5389221556886228,-0.007423131726682186,4.371257485029941,0.3592814371257485,0.3592814371257485,1.3949691679386396,0.33515144271576774,0.6720243058415788,2.432190833057811,1.2749960202294799,1.2326797443634758,1.3459541626449012,0.05038921126266299,0.4766199900995332,0.7286615149822916,0.05663720914071277,0.5021126784194404,True,73.0,49.0,62.0,49.0,20.0,16.0,49.3,16.0,True
Esteban Lepaul,20.019486765377223,4.5347989816218615,25.130308160558343,128.0,27.0,109.0,128.0,30.0,4.0,14.0,30.0,21.0,102.0,18.0,33.0,28.0,78.0,15.0,1350.0,30.0,5,20.2969940946124,4.45857526166918,25.1841499092423,128.1822475274476,109.72439433808185,128.1822475274476,3.92894927864985,29.33068233372652,20.28589057254333,100.27607361963192,16.926380368098158,34.80148353143998,29.139892024317213,76.53374233128835,15.347527447600037,1381.8232193085926,47.900000000000006,46.0,25.0,FRA-Ligue 1,Angers,FW,2,23500000.0,46400000.0,2029.0,76.0,77.0,83.0,33.0,603.0,71.0,80.0,76.0,83.0,ST,79.0,82.0,43.506411868242,36.206896551724,73.6840759118115,23.044575273339,0.4179433562709232,0.15640224035450956,2.6722338204592897,2.275574112734864,0.8515625,0.43841336116910223,2.1294363256784967,0.3757828810020876,0.6889352818371607,1.6283924843423798,0.5845511482254696,0.09467221255995534,0.5246410889469382,0.626304801670146,0.0835073068893528,0.313152400835073,6.9805132346227765,12.588726513569936,0.626304801670146,0.7306889352818371,2.2906971678096415,0.42373682869754487,0.4235050223913012,2.0934462133534844,0.3533691099811724,0.726544541366179,0.6083484764993154,0.09308090316637119,0.5257651338046408,0.6123315727291548,0.0820239932912286,0.32040767113987545,True,80.0,79.0,23.0,40.0,27.0,23.0,49.2,23.0,False
Adam Hložek,7.040362112224102,2.8081529047340155,12.762904856353998,62.0,8.0,41.0,62.0,7.0,7.0,6.0,22.0,14.0,67.0,22.0,31.0,40.0,43.0,33.0,890.0,8.0,4,6.927165886300076,2.819685360194935,12.670849876289628,61.895102687970414,40.92869953325337,61.895102687970414,7.028747433264886,22.09034907597536,14.057494866529773,66.86094069529653,21.910020449897758,31.00747091652402,39.804753611995054,43.09406952965235,33.13552361396304,890.4193738837254,21.3,21.3,23.0,GER-Bundesliga,Hoffenheim,"FW,MF",2,17000000.0,32300000.0,2029.0,78.0,78.0,77.0,32.63,12.0,83.0,76.0,72.0,75.0,ST,77.0,83.0,58.641975308642,37.352071005917,76.3560763560765,6.779661016949,0.33053343249878414,0.11355422761651777,2.9107981220657275,1.9248826291079812,0.6612903225806451,0.6572769953051643,3.1455399061032865,1.0328638497652582,1.4553990610328638,2.0187793427230045,1.8779342723004695,0.13183816454150307,0.5991974110964318,1.0328638497652582,0.32863849765258213,1.5492957746478873,0.959637887775898,0.5633802816901409,0.3755868544600939,0.5633802816901409,1.9215351893546184,0.3252190556948392,0.6599762848136044,3.1390113002486633,1.0286394577416786,1.4557498082875127,1.8687677752110352,0.13237959437534905,0.5948755810464614,1.0371055904213784,0.3299881424068022,1.5556583856320674,True,23.0,51.0,64.0,53.0,59.0,34.0,48.9,23.0,True
Ferran Jutglà,6.59795877058059,1.5541915334761145,8.991645194590092,45.0,9.0,32.0,45.0,7.0,2.0,8.0,16.0,10.0,51.0,12.0,30.0,20.0,17.0,21.0,742.0,9.0,3,6.401590950027596,1.5079358330750396,8.724036706655863,43.660714285714285,31.047619047619047,43.660714285714285,1.9404761904761905,15.523809523809524,9.702380952380953,52.56441717791412,12.368098159509202,29.10714285714285,19.404761904761905,17.52147239263804,20.375,719.9166666666666,18.4,18.4,26.0,ESP-La Liga,Celta Vigo,FW,1,6000000.0,12600000.0,2029.0,76.0,79.0,74.0,34.2,377.0,79.0,77.0,67.0,77.0,ST,75.0,75.0,35.416666666667,44.055944055944,77.884615384615,20.0,0.3585847157924234,0.146621306012902,2.4456521739130435,1.7391304347826089,0.7111111111111111,0.5434782608695653,2.7717391304347827,0.6521739130434783,1.6304347826086958,0.923913043478261,1.0869565217391306,0.08446693116718014,0.4886763692712007,0.8695652173913044,0.10869565217391305,1.1413043478260871,2.4020412294194102,20.48913043478261,0.48913043478260876,0.6521739130434783,1.6873706004140787,0.3479125516319346,0.5273033126293997,2.856761803147507,0.6721792477994132,1.5819099378881984,1.0546066252587993,0.08195303440625216,0.47413242970955777,0.8436853002070394,0.10546066252587992,1.1073369565217392,True,63.0,48.0,42.0,59.0,28.0,54.0,48.9,28.0,True
Brenden Aaronson,5.881288753822446,5.662709843367338,13.203591203317046,46.0,4.0,28.0,47.0,3.0,9.0,4.0,34.0,16.0,130.0,50.0,51.0,74.0,24.0,31.0,1277.0,4.0,5,6.2931076599981965,6.059223442902906,14.128131506393949,49.221006564551416,29.96061269146608,50.29102844638949,9.630196936542667,36.38074398249452,17.120350109409188,121.49284253578732,46.72801635991821,54.57111597374179,79.1816192560175,22.429447852760735,33.1706783369803,1366.417943107221,27.2,27.2,24.0,ENG-Premier League,Leeds United,"MF,FW",1,10000000.0,19800000.0,2027.0,80.0,81.0,73.0,35.26,639.0,53.0,75.0,49.0,76.0,RM,76.0,79.0,33.333333333333,41.640378548896,81.137724550898,8.5106382978723,0.2162238512434723,0.1278541033439662,1.6911764705882353,1.0294117647058825,0.5957446808510638,0.5882352941176471,4.779411764705882,1.8382352941176472,1.875,0.8823529411764706,2.7205882352941178,0.20818786188850508,0.48542614718077376,1.25,0.33088235294117646,1.1397058823529411,-1.8812887538224459,23.49264705882353,0.14705882352941177,0.33088235294117646,1.101493113656841,0.23136425220581605,0.6294246363753379,4.46664862263924,1.7179417779381694,2.0062910284463893,2.9110889432359377,0.2227655677537833,0.5194165994997776,1.3375273522975928,0.35405135796112747,1.219510232977217,True,28.0,18.0,74.0,49.0,73.0,75.0,48.8,18.0,False
Marvin Ducksch,8.931332174688578,10.059994157403708,19.355842046439648,71.0,7.0,52.0,72.0,6.0,17.0,11.0,62.0,15.0,65.0,10.0,17.0,11.0,20.0,7.0,1150.0,8.0,8,8.73484286684543,9.838674285940826,18.930013521417976,69.438,50.856,70.416,16.626,60.636,14.67,66.46216768916156,10.224948875255624,16.626,10.758,20.449897750511248,6.846,1124.7,26.9,26.9,30.0,GER-Bundesliga,Werder Bremen,FW,1,,,,,,,,0.0,,,,,,,,40.816326530612,46.478873239437,70.580110497238,11.111111111111,0.33201978344567207,0.12579341091110674,2.639405204460967,1.933085501858736,0.7222222222222222,0.5576208178438662,2.41635687732342,0.3717472118959108,0.6319702602230484,0.7434944237918216,0.4089219330855019,0.37397747797039804,0.719548031466158,2.304832713754647,0.6319702602230484,0.26022304832713755,-1.9313321746885777,0.0,0.29739776951672864,0.5947955390334573,1.890557620817844,0.3247153482098673,0.5453531598513012,2.4707125535004297,0.3801096236154507,0.6180669144981413,0.3999256505576208,0.3657499734550493,0.7037179747739025,2.2541263940520446,0.6180669144981413,0.25449814126394055,True,37.0,54.0,37.0,52.0,88.0,4.0,48.8,4.0,False
Dušan Vlahović,18.82719596941024,2.99136795848608,24.05781565885991,126.0,12.0,99.0,126.0,15.0,4.0,23.0,27.0,17.0,44.0,7.0,36.0,47.0,64.0,12.0,970.0,17.0,5,16.055048140835034,2.549901843889147,20.51919828882268,107.42588141025641,84.40901806526806,107.42588141025641,3.413643648018648,23.010926573426573,14.515406468531468,51.53374233128835,8.212678936605318,30.669361888111887,40.06727127039627,75.06748466257669,10.240930944055943,827.1703817016316,30.6,30.6,25.0,ITA-Serie A,Juventus,FW,2,34500000.0,61200000.0,2028.0,77.0,76.0,82.0,33.55,145.0,87.0,78.0,81.0,86.0,ST,81.0,84.0,46.928635953026,36.8667255075025,70.65259740259751,13.6363636363635,0.6152678421375896,0.1494221902334146,4.117647058823529,3.235294117647059,0.7857142857142857,0.5555555555555556,1.4379084967320261,0.22875816993464052,1.1764705882352942,2.0915032679738563,1.5359477124183005,0.09775712282634248,0.786203126106533,0.8823529411764706,0.13071895424836602,0.39215686274509803,-6.827195969410241,4.738562091503268,0.5555555555555556,0.7189542483660131,2.758464642655819,0.5246747758442821,0.47435968851410026,1.6841092265126911,0.26838820054265744,1.0022667283696693,1.30938795001295,0.08333012561729239,0.6705620355824404,0.7519910644910645,0.11155698196139373,0.3346709458841811,True,64.0,84.0,24.0,43.0,35.0,12.0,48.6,12.0,False
Liam Delap,15.438743876293302,2.9537093117833138,22.22292793355882,104.0,11.0,79.0,104.0,12.0,3.0,14.0,24.0,21.0,93.0,16.0,70.0,82.0,83.0,50.0,1198.0,13.0,2,16.799463884468878,3.497131475377817,24.083259854044677,112.411009894904,84.08490493549957,112.411009894904,3.613300492610837,27.83556445347517,23.865317465060485,85.95705521472394,15.032719836400819,77.52836140731318,90.910723890345,77.65439672801637,56.65220991880885,1308.342501131212,41.1,41.1,22.0,ENG-Premier League,Chelsea,FW,2,17000000.0,35700000.0,2031.0,78.0,76.0,78.0,35.51,261.0,84.0,77.0,73.0,78.0,ST,77.0,83.0,42.828231722742004,36.220196353435995,65.9551176792555,10.2124183006534,0.37563853713609,0.14844946034897405,2.5304136253041363,1.922141119221411,0.7596153846153846,0.510948905109489,2.2627737226277373,0.389294403892944,1.70316301703163,2.019464720194647,1.9951338199513382,0.07186640661273269,0.5407038426656647,0.583941605839416,0.072992700729927,1.2165450121654502,-4.438743876293302,6.350364963503649,0.31630170316301703,0.36496350364963503,2.045861433953761,0.4087460799140846,0.5806646585172868,2.0914125356380517,0.36575960672508073,1.8863348274285445,2.2119397540229926,0.08508835706515369,0.5859673930424495,0.6772643419337023,0.08791485383481355,1.378399268097539,True,49.0,67.0,37.0,49.0,28.0,64.0,48.5,28.0,False
Brian Brobbey,7.111885398626328,1.5084331054240463,9.288086591288447,36.0,7.0,34.0,36.0,7.0,2.0,12.0,15.0,6.0,44.0,9.0,37.0,29.0,65.0,2.0,538.0,7.0,1,7.745460935252282,1.642814673835988,10.115533058218375,39.207126948775056,37.02895322939867,39.207126948775056,2.178173719376392,16.33630289532294,6.534521158129176,40.40081799591002,8.263803680981594,40.29621380846326,31.583518930957684,59.68302658486707,2.178173719376392,585.9287305122494,21.4,21.4,23.0,ENG-Premier League,Sunderland,FW,1,17000000.0,35700000.0,2030.0,84.0,82.0,75.0,35.21,350.0,94.0,78.0,71.0,82.0,ST,77.0,83.0,46.762589928058,38.211382113821,72.0,19.444444444444,0.33233109339375366,0.19755237218406468,1.6822429906542058,1.5887850467289721,0.9444444444444444,0.28037383177570097,2.0560747663551404,0.42056074766355145,1.7289719626168225,3.0373831775700935,1.355140186915888,0.07048752829084329,0.43402273791067514,0.7009345794392524,0.09345794392523366,0.09345794392523366,-0.1118853986263284,16.35514018691589,0.3271028037383178,0.3738317757009346,1.73032491726162,0.3619374268809478,0.3053514559873447,1.8878886913976645,0.38615905051315863,1.8830006452552925,1.4758653706054994,0.07676704083345738,0.47268846066441006,0.7633786399683617,0.10178381866244823,0.10178381866244823,True,77.0,65.0,13.0,60.0,23.0,48.0,48.4,13.0,True
Borja Mayoral,6.100163746625185,1.8768860716372728,8.631499675568193,35.0,8.0,30.0,35.0,9.0,3.0,5.0,13.0,22.0,68.0,10.0,22.0,38.0,33.0,12.0,788.0,9.0,2,7.264233118913058,2.2218073203359374,10.222059540315977,41.64339784331929,35.607869742198105,41.64339784331929,3.5561308291080485,15.440941226879955,26.29557951867457,57.079754601226995,8.384458077709612,26.062772263086483,45.29265157466257,27.717791411042946,14.317646218667429,939.8661715346711,24.200000000000003,24.200000000000003,28.0,ESP-La Liga,Getafe,FW,2,11000000.0,23100000.0,2027.0,65.0,61.0,80.0,31.35,195.0,71.0,77.0,83.0,79.0,ST,77.0,77.0,31.304347826087,36.483288967761,81.155303030303,25.8333333333335,0.2520728820919498,0.17429039276071956,1.446280991735537,1.2396694214876032,0.8571428571428571,0.909090909090909,2.8099173553719003,0.4132231404958677,0.909090909090909,1.3636363636363635,1.5702479338842974,0.0775572756874906,0.35667354031273524,0.5371900826446281,0.12396694214876032,0.4958677685950413,1.899836253374815,8.05785123966942,0.371900826446281,0.4545454545454545,1.4713995761238885,0.3001749222691346,1.0865941949865525,2.3586675455052473,0.3464652098227112,1.076974060458119,1.8715971725067175,0.09181021984859244,0.4223991545585114,0.6380554225983451,0.14694755492182016,0.591638273498654,True,83.0,47.0,64.0,26.0,27.0,22.0,48.3,22.0,True
Ludovic Blas,8.804372894577682,12.616297917440534,27.24707326013595,104.0,9.0,63.0,104.0,10.0,19.0,7.0,95.0,29.0,171.0,59.0,81.0,73.0,18.0,71.0,2459.0,11.0,12,8.307898011809753,11.794725641221634,25.56432555955646,97.71919284651966,59.357343517617466,97.71919284651966,17.739863760718286,89.02613884655638,27.160182142004665,182.40695296523515,62.529652351738235,76.55669720727835,68.8710390540367,19.05521472392638,66.94962451572628,2313.496234140609,42.7,42.7,27.0,FRA-Ligue 1,Rennes,"MF,FW",2,8000000.0,15200000.0,2027.0,72.0,77.0,74.0,33.87,400.0,63.0,80.0,56.0,72.0,CAM,76.0,76.0,25.636363636363498,44.683681513599,82.3312042398065,10.582306830907001,0.20619140268331806,0.08465743167863156,2.4355971896955504,1.4754098360655736,0.6057692307692307,0.6791569086651054,4.004683840749414,1.3817330210772834,1.8969555035128804,0.42154566744730676,1.7096018735362997,0.2954636514623076,0.6381047601905374,2.2248243559718968,0.4449648711943794,1.6627634660421544,0.19562710542231798,9.36768149882904,0.2576112412177986,0.5386416861826697,1.3901017217240623,0.19456435624847196,0.6360698393912099,4.27182559637553,1.464394668658975,1.7928968901001954,1.6129048958790795,0.27622308293259096,0.5986961489357484,2.0849212844626783,0.4154534838575711,1.5679068973238004,True,20.0,21.0,73.0,51.0,86.0,49.0,48.3,20.0,False
Keito Nakamura,9.232945438474417,3.226258029229939,16.374792762100697,85.0,11.0,59.0,84.0,10.0,5.0,7.0,25.0,24.0,116.0,24.0,8.0,43.0,7.0,30.0,1197.0,11.0,2,10.237891880757346,3.5774153657447623,18.15708313076472,94.25170068027212,65.421768707483,93.14285714285714,5.54421768707483,27.72108843537415,26.612244897959183,104.61349693251532,21.644171779141104,8.870748299319727,47.68027210884354,6.312883435582823,33.265306122448976,1327.2857142857142,29.4,29.4,24.0,FRA-Ligue 1,Reims,"MF,FW",1,,,,,,,,0.0,,,,,,,,33.333333333333,31.632653061224,77.903682719547,13.095238095238,0.31404576321341554,0.10862288751146372,2.8911564625850343,2.0068027210884356,0.7023809523809523,0.8163265306122449,3.9455782312925174,0.8163265306122449,0.272108843537415,0.2380952380952381,1.4625850340136055,0.10973666766088229,0.5569657402075067,0.8503401360544218,0.17006802721088435,1.0204081632653061,1.7670545615255833,0.0,0.3741496598639456,0.44217687074829937,2.2252302281456804,0.3482276149917465,0.9051783978897682,3.5582822085889565,0.7361963190184049,0.3017261326299227,1.6217779628858346,0.12168079475322321,0.6175878615906367,0.9428941644685085,0.1885788328937017,1.1314729973622102,True,34.0,62.0,78.0,14.0,51.0,38.0,48.2,14.0,False
Thijs Dallinga,9.422434993088245,1.2591763380914927,11.985805264674127,55.0,5.0,49.0,54.0,5.0,1.0,12.0,22.0,16.0,55.0,17.0,26.0,35.0,60.0,4.0,826.0,5.0,4,8.102248964807814,1.091622443798892,10.333343536726701,47.35209159619845,42.08109144653146,46.466222030981065,0.8858695652173912,18.958523535134326,13.687523385467333,64.16155419222906,19.783231083844584,22.280915587817105,30.032655466586846,70.22085889570553,3.455043777594851,710.5482021252712,21.8,21.8,24.0,ITA-Serie A,Bologna,FW,2,8500000.0,15100000.0,2028.0,71.0,69.0,77.0,34.01,181.0,65.0,79.0,80.0,81.0,ST,75.0,80.0,45.0,34.3881856540085,71.8263655782725,9.18653576437585,0.4322217886737727,0.17131699987433174,2.5229357798165135,2.2477064220183487,0.9074074074074074,0.7339449541284403,2.5229357798165135,0.7798165137614679,1.1926605504587156,2.7522935779816513,1.6055045871559632,0.05776038248126113,0.5498075809483545,1.0091743119266054,0.04587155963302752,0.18348623853211007,-4.422434993088245,8.302752293577981,0.2293577981651376,0.4128440366972477,1.9303252957124521,0.37166279655081713,0.6278680452049236,2.9431905592765624,0.9074876643965405,1.0220603480650048,1.3776447461737085,0.05007442402747211,0.4740065842535184,0.8696570428960699,0.04063621858795372,0.15848824667866288,True,52.0,71.0,57.0,39.0,21.0,19.0,47.9,19.0,True
Frank Magri,9.602074669674039,2.5589388515800238,13.022049967199562,77.0,10.0,67.0,77.0,10.0,4.0,8.0,23.0,17.0,49.0,16.0,50.0,50.0,81.0,14.0,904.0,10.0,2,10.67259575782542,2.838859662995376,14.39219262003423,85.96226950354611,74.67943262411347,85.96226950354611,4.416028368794326,25.964397163120566,18.889503546099288,43.54601226993864,14.282208588957054,55.85929078014184,55.65120567375887,72.33128834355828,15.90695035460993,1011.617304964539,30.700000000000003,30.700000000000003,25.0,FRA-Ligue 1,Toulouse,"FW,MF",2,3100000.0,6400000.0,2030.0,77.0,78.0,74.0,35.35,207.0,69.0,66.0,68.0,70.0,ST,72.0,75.0,38.622222222222,36.3794487556865,73.0453978701225,13.257575757575498,0.3127711618786332,0.12470226843732518,2.50814332247557,2.1824104234527684,0.8701298701298701,0.5537459283387621,1.5960912052117262,0.521172638436482,1.6286644951140063,2.6384364820846904,1.6286644951140063,0.0833530570547239,0.4241710087035688,0.7491856677524429,0.1302931596091205,0.4560260586319218,0.3979253303259611,6.742671009771986,0.3257328990228013,0.3908794788273615,2.4325548086030446,0.34764155562949245,0.6152932751172406,1.418436881756959,0.4652185208129333,1.8195208723173237,1.8127428558227643,0.09247099879463765,0.46880106254183157,0.8457458359322659,0.14384457227343078,0.5181417053618869,True,41.0,76.0,38.0,47.0,30.0,45.0,47.8,30.0,False
Loïs Openda,12.923430389724672,4.363521719351411,20.772240741178393,103.0,10.0,76.0,104.0,8.0,8.0,18.0,37.0,17.0,66.0,15.0,98.0,33.0,29.0,26.0,1293.0,10.0,5,11.786166975526413,4.035126390139005,19.017233662949554,94.29292385057471,69.43893678160919,95.14188218390805,7.406429597701149,33.95833333333333,15.7496408045977,71.77914110429448,16.67484662576687,89.96030890804597,30.38685344827586,31.840490797546018,24.00502873563218,1187.019396551724,35.3,34.7,25.0,ITA-Serie A,Juventus,"FW,MF",2,38500000.0,0.0,,95.0,94.0,84.0,34.91,157.0,79.0,80.0,79.0,83.0,ST,82.0,84.0,34.0970350404315,55.265423242468,69.75717439293601,7.6923076923079,0.3661028439015488,0.12547019795849196,2.917847025495751,2.152974504249292,0.7307692307692307,0.481586402266289,1.869688385269122,0.42492917847025496,2.776203966005666,0.821529745042493,0.934844192634561,0.12361251329607398,0.5884487462090197,1.048158640226629,0.226628895184136,0.7365439093484419,-2.923430389724672,4.447592067988669,0.28328611898017,0.42492917847025496,1.9671086906971442,0.33388575001491255,0.44616546188662043,2.033403430716558,0.47237525852030804,2.548450677281756,0.8608173781381264,0.1143095294656942,0.5387318318116021,0.9619924457034938,0.20981386962326204,0.6800291426524697,True,38.0,57.0,26.0,78.0,43.0,39.0,47.8,26.0,False
Gift Orban,13.997940018773079,2.6780524663627148,18.451287526637316,96.0,9.0,54.0,96.0,9.0,3.0,13.0,22.0,15.0,75.0,7.0,28.0,36.0,39.0,23.0,920.0,11.0,2,16.331426013968226,3.226274795896369,21.74972647561188,114.44069692604738,63.98807809004259,114.44069692604738,3.649253731343284,26.33657176131662,17.1847129853811,64.78527607361964,6.276073619631902,32.573523552667865,42.729489104784086,33.79959100204499,27.128367403230257,1071.9714058046522,32.2,30.1,23.0,GER-Bundesliga,Hoffenheim,FW,2,8500000.0,0.0,,76.0,78.0,81.0,34.68,337.0,67.0,80.0,61.0,75.0,ST,74.0,81.0,34.149277688603505,33.6590038314175,71.83018124507501,22.29946524064155,0.4347186341233875,0.14581187519555291,2.981366459627329,1.6770186335403725,0.5625,0.4658385093167701,2.3291925465838506,0.21739130434782608,0.8695652173913043,1.2111801242236024,1.1180124223602483,0.08316933125350046,0.5730213517589228,0.6832298136645962,0.09316770186335403,0.7142857142857142,-4.997940018773079,10.46583850931677,0.3416149068322981,0.40372670807453415,1.9872073941007014,0.5071871432909386,0.5336867386764317,2.011965095454026,0.19490911862210872,1.0116001103313002,1.3270027672293194,0.10019486943777542,0.6754573439631018,0.8179059553203919,0.1133308612218411,0.842495882087896,True,74.0,63.0,30.0,29.0,41.0,46.0,47.8,29.0,False
Adam Daghim,3.1088089011609554,3.074686413630843,9.786626935005188,27.0,2.0,22.0,27.0,2.0,6.0,5.0,18.0,4.0,45.0,26.0,23.0,18.0,19.0,17.0,740.0,2.0,3,3.355866562180369,3.3190323537869366,10.564372121893015,29.14569536423841,23.748344370860927,29.14569536423841,6.47682119205298,19.430463576158942,4.317880794701987,41.68711656441717,24.085889570552148,24.827814569536425,19.430463576158942,17.60122699386503,18.350993377483444,798.8079470198676,15.2,15.2,19.0,GER-Bundesliga,Wolfsburg,"MF,FW",1,5000000.0,0.0,,88.0,86.0,70.0,35.8,468.0,68.0,65.0,56.0,69.0,LM,72.0,80.0,44.186046511628,44.594594594595,66.750629722922,7.4074074074074,0.20452690139216814,0.11514107041336873,1.7763157894736843,1.4473684210526316,0.8148148148148148,0.2631578947368421,2.960526315789474,1.7105263157894737,1.5131578947368423,1.25,1.1842105263157896,0.202282000896766,0.6438570351977098,1.1842105263157896,0.39473684210526316,1.118421052631579,-1.1088089011609554,30.789473684210527,0.13157894736842105,0.32894736842105265,1.5623910770303242,0.22078069488028745,0.2840711049146044,2.74257345818534,1.5845979980626415,1.6334088532589754,1.27831997211572,0.218357391696509,0.6950244817034879,1.27831997211572,0.4261066573719066,1.2073021958870687,True,18.0,39.0,33.0,66.0,76.0,84.0,47.6,18.0,True
Orri Steinn Óskarsson,12.950409445911646,0.6480291346088052,13.214215893298388,46.0,12.0,41.0,46.0,12.0,2.0,15.0,10.0,7.0,27.0,13.0,13.0,17.0,47.0,5.0,530.0,12.0,0,12.09586245883741,0.6100337470857506,12.343646818247006,43.0063588338877,38.37316028609318,43.0063588338877,1.906432748538012,9.31069153677254,6.495336855149025,29.0920245398773,13.944785276073619,12.126046218396054,15.717439509554556,50.89161554192229,4.677492988978021,491.69487380160444,19.8,19.8,20.0,ESP-La Liga,Real Sociedad,FW,2,6500000.0,15000000.0,2030.0,74.0,73.0,74.0,34.29,199.0,76.0,66.0,74.0,76.0,ST,74.0,80.0,39.644877435575,36.9047619047615,59.289450741064,24.561403508772003,0.6540610831268507,0.28153064012851403,2.323232323232323,2.0707070707070705,0.8913043478260869,0.35353535353535354,1.3636363636363635,0.6565656565656566,0.6565656565656566,2.3737373737373737,0.8585858585858586,0.03272874417216188,0.6673846410756761,0.5050505050505051,0.10101010101010101,0.25252525252525254,-0.9504094459116459,10.05050505050505,0.6060606060606061,0.6060606060606061,1.9380383982875344,0.6109021443857278,0.32804731591661745,1.4692941686806718,0.7042820846501827,0.6124265766866693,0.793810076240129,0.030809785206351043,0.623416505972071,0.4702369463016434,0.09628448224939454,0.2362370196453546,True,85.0,80.0,15.0,35.0,23.0,26.0,47.5,15.0,True
