,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,30.0,1994.0,10.9,29,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,26.0,1997.0,18.2,25,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,18.0,2006.0,4.2,3,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,36.0,1988.0,0.7,3,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,20.0,2004.0,1.3,0,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,33.0,1991.0,32.7,64,6,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Hoffenheim,Luca Philipp,GER,GK,23.0,2000.0,6.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Hoffenheim,Oliver Baumann,GER,GK,34.0,1990.0,28.0,53,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Holstein Kiel,Thomas Dähne,GER,GK,30.0,1994.0,9.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Holstein Kiel,Timon Weiner,GER,GK,25.0,1999.0,25.0,61,4,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Leverkusen,Lukáš Hrádecký,FIN,GK,34.0,1989.0,29.0,38,4,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Leverkusen,Matej Kovar,CZE,GK,24.0,2000.0,5.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Mainz 05,Lasse Rieß,GER,GK,23.0,2001.0,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Mainz 05,Robin Zentner,GER,GK,29.0,1994.0,32.0,41,4,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,22.0,2002.0,4.8,9,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,34.0,1990.0,29.2,39,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,St Pauli,Ben Alexander Voll,GER,GK,23.0,2000.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,St Pauli,Nikola Vasilj,BIH,GK,28.0,1995.0,33.0,39,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,27.0,1996.0,34.0,53,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32.0,1992.0,6.0,13,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,31.0,1992.0,28.0,37,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29.0,1995.0,34.0,57,3,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,25.0,1999.0,28.7,49,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31.0,1993.0,5.3,5,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Augsburg,Finn Dahmen,GER,GK,27.0,1998.0,34.0,61,6,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Bayern Munich,Jonas Urbig,GER,GK,21.0,2003.0,12.3,15,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Bayern Munich,Manuel Neuer,GER,GK,39.0,1986.0,20.7,20,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Bayern Munich,Sven Ulreich,GER,GK,36.0,1988.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Dortmund,Gregor Kobel,SUI,GK,27.0,1997.0,34.0,34,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Frankfurt,Kauã Santos,BRA,GK,22.0,2003.0,12.0,32,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Frankfurt,Michael Zetterer,GER,GK,30.0,1995.0,22.0,33,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Freiburg,Noah Atubolu,GER,GK,23.0,2002.0,34.0,57,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Gladbach,Moritz Nicolas,GER,GK,27.0,1997.0,34.0,53,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Hamburger SV,Daniel Heuer Fernandes,POR,GK,32.0,1992.0,33.0,53,6,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Hamburger SV,Sander Tangvik,NOR,GK,22.0,2002.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Heidenheim,Diant Ramaj,GER,GK,23.0,2001.0,31.0,67,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Heidenheim,Frank Feller,GER,GK,21.0,2004.0,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Hoffenheim,Oliver Baumann,GER,GK,35.0,1990.0,34.0,52,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Köln,Marvin Schwäbe,GER,GK,30.0,1995.0,34.0,63,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Leverkusen,Janis Blaswich,GER,GK,34.0,1991.0,10.3,9,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Leverkusen,Mark Flekken,NED,GK,32.0,1993.0,23.7,38,7,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Mainz 05,Daniel Batz,GER,GK,34.0,1991.0,21.0,27,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Mainz 05,Lasse Rieß,GER,GK,24.0,2001.0,3.2,12,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Mainz 05,Robin Zentner,GER,GK,30.0,1994.0,9.7,14,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,RB Leipzig,Maarten Vandevoordt,BEL,GK,23.0,2002.0,11.7,15,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,RB Leipzig,Péter Gulácsi,HUN,GK,35.0,1990.0,22.3,32,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,St Pauli,Nikola Vasilj,BIH,GK,29.0,1995.0,34.0,60,3,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Stuttgart,Alexander Nübel,GER,GK,28.0,1996.0,34.0,49,9,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Union Berlin,Carl Klaus,GER,GK,31.0,1994.0,3.7,4,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Union Berlin,Frederik Rønnow,DEN,GK,32.0,1992.0,29.3,54,6,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Union Berlin,Matheo Raab,GER,GK,26.0,1998.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Werder Bremen,Karl Jakob Hein,EST,GK,23.0,2002.0,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Werder Bremen,Mio Backhaus,GER,GK,21.0,2004.0,32.0,56,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2526,Wolfsburg,Kamil Grabara,POL,GK,26.0,1999.0,34.0,69,7,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,AZ Alkmaar,Jeroen Zoet,NED,GK,33.0,1991.0,6.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,AZ Alkmaar,Rome-Jayden Owusu-Oduro,NED,GK,20.0,2004.0,28.0,34,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Ajax,Diant Ramaj,GER,GK,22.0,2001.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Ajax,Matheus,BRA,GK,32.0,1992.0,9.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Ajax,Remko Pasveer,NED,GK,40.0,1983.0,24.0,23,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Almere City,Jonas Wendlinger,AUT,GK,24.0,2000.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Almere City,Nordin Bakker,NED,GK,26.0,1997.0,33.9,64,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Feyenoord,Justin Bijlow,NED,GK,26.0,1998.0,4.0,8,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Feyenoord,Plamen Andreev,BUL,GK,19.0,2004.0,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Feyenoord,Timon Wellenreuther,GER,GK,28.0,1995.0,29.0,28,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Fortuna Sittard,Luuk Koopmans,NED,GK,30.0,1993.0,6.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Fortuna Sittard,Mattijs Branderhorst,NED,GK,30.0,1993.0,28.0,39,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Go Ahead Eagles,Jari De Busser,BEL,GK,24.0,1999.0,16.0,23,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Go Ahead Eagles,Luca Plogmann,GER,GK,24.0,2000.0,18.0,32,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Groningen,Etienne Vaessen,SUR,GK,29.0,1995.0,32.0,50,5,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Groningen,Hidde Jurjus,NED,GK,30.0,1994.0,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Heerenveen,Andries Noppert,NED,GK,30.0,1994.0,15.2,24,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Heerenveen,Mickey van der Hart,NED,GK,30.0,1994.0,18.8,33,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Heracles Almelo,Fabian de Keijzer,NED,GK,24.0,2000.0,34.0,63,6,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,NAC Breda,Daniel Bielica,POL,GK,25.0,1999.0,32.0,52,6,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,NAC Breda,Kostas Lamprou,GRE,GK,32.0,1991.0,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,NAC Breda,Roy Kortsmit,NED,GK,31.0,1992.0,1.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,NEC Nijmegen,Robin Roefs,NED,GK,21.0,2003.0,32.0,42,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,NEC Nijmegen,Stijn van Gassel,NED,GK,27.0,1996.0,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,PSV,Joel Drommel,NED,GK,27.0,1996.0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,PSV,Walter Benítez,ARG,GK,31.0,1993.0,33.5,39,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,RKC Waalwijk,Jeroen Houwen,NED,GK,28.0,1996.0,24.0,48,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,RKC Waalwijk,Joey Kesting,NED,GK,23.0,2001.0,3.0,5,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,RKC Waalwijk,Mark Spenkelink,NED,GK,27.0,1997.0,4.0,12,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,RKC Waalwijk,Yanick van Osch,NED,GK,27.0,1997.0,3.0,9,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Sparta R.,Nick Olij,NED,GK,28.0,1995.0,34.0,43,4,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Twente,Lars Unnerstall,GER,GK,34.0,1990.0,31.0,39,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Twente,Przemysław Tytoń,POL,GK,37.0,1987.0,3.0,10,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Utrecht,Michael Brouwer,NED,GK,31.0,1993.0,3.0,1,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Utrecht,Vasilios Barkas,GRE,GK,30.0,1994.0,31.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Willem II,Thomas Didillon,FRA,GK,28.0,1995.0,34.0,56,6,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Zwolle,Jasper Schendelaar,NED,GK,23.0,2000.0,30.0,45,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2425,Zwolle,Mike Hauptmeijer,NED,GK,27.0,1997.0,4.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,AZ Alkmaar,Hobie Verhulst,NED,GK,32.0,1993.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,AZ Alkmaar,Jeroen Zoet,NED,GK,34.0,1991.0,10.2,15,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,AZ Alkmaar,Rome-Jayden Owusu-Oduro,NED,GK,21.0,2004.0,22.8,36,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Ajax,Maarten Paes,IDN,GK,27.0,1998.0,11.0,11,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Ajax,Remko Pasveer,NED,GK,41.0,1983.0,4.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Ajax,Vitezslav Jaros,CZE,GK,24.0,2001.0,19.0,23,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Excelsior,Calvin Raatsie,NED,GK,23.0,2002.0,2.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Excelsior,Stijn van Gassel,NED,GK,28.0,1996.0,31.3,46,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Excelsior,Tijmen Holla,,GK,,,0.7,4,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Feyenoord,Steven Benda,GER,GK,26.0,1998.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Feyenoord,Timon Wellenreuther,GER,GK,29.0,1995.0,33.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Fortuna Sittard,Luuk Koopmans,NED,GK,31.0,1993.0,10.0,21,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Fortuna Sittard,Mattijs Branderhorst,NED,GK,31.0,1993.0,24.0,42,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Go Ahead Eagles,Jari De Busser,BEL,GK,25.0,1999.0,34.0,53,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Groningen,Etienne Vaessen,SUR,GK,30.0,1995.0,27.9,35,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Groningen,Hidde Jurjus,NED,GK,31.0,1994.0,6.1,10,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Heerenveen,Andries Noppert,NED,GK,31.0,1994.0,4.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Heerenveen,Bernt Klaverboer,NED,GK,19.0,2005.0,29.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Heerenveen,Nordin Bakker,NED,GK,27.0,1997.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Heracles Almelo,Fabian de Keijzer,NED,GK,25.0,2000.0,8.0,20,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Heracles Almelo,Remko Pasveer,NED,GK,41.0,1983.0,11.0,27,4,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Heracles Almelo,Timo Jansink,NED,GK,22.0,2003.0,15.0,38,4,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,NAC Breda,Daniel Bielica,POL,GK,26.0,1999.0,33.0,55,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,NAC Breda,Kostas Lamprou,GRE,GK,33.0,1991.0,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,NEC Nijmegen,Gonzalo Crettaz,ARG,GK,25.0,2000.0,31.0,49,4,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,NEC Nijmegen,Jasper Cillessen,NED,GK,36.0,1989.0,2.1,2,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,NEC Nijmegen,Rijk Janse,NED,GK,23.0,2002.0,0.9,2,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,PSV,Matej Kovar,CZE,GK,25.0,2000.0,31.0,41,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,PSV,Nick Olij,NED,GK,29.0,1995.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,PSV,Niek Schiks,NED,GK,21.0,2004.0,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Sparta R.,Joel Drommel,NED,GK,28.0,1996.0,34.0,62,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Telstar,Daan Reiziger,NED,GK,24.0,2001.0,1.1,2,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Telstar,Ronald Koeman Jr.,NED,GK,30.0,1995.0,32.9,53,3,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Twente,Lars Unnerstall,GER,GK,35.0,1990.0,31.0,35,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Twente,Przemysław Tytoń,POL,GK,38.0,1987.0,3.0,5,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Utrecht,Michael Brouwer,NED,GK,32.0,1993.0,1.5,3,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Utrecht,Vasilios Barkas,GRE,GK,31.0,1994.0,32.5,39,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Volendam,Kayne van Oevelen,NED,GK,21.0,2003.0,31.7,51,2,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Volendam,Roy Steur,NED,GK,20.0,2005.0,2.3,4,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Zwolle,Duke Verduin,NED,GK,21.0,2003.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Zwolle,Jasper Schendelaar,NED,GK,24.0,2000.0,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
NED-Eredivisie,2526,Zwolle,Tom de Graaff,NED,GK,20.0,2004.0,31.0,65,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,AVS Futebol,Guillermo Ochoa,MEX,GK,39.0,1985.0,23.0,45,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,AVS Futebol,Simão Bertelli,BRA,GK,31.0,1993.0,11.0,15,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Arouca,João Valido,POR,GK,24.0,2000.0,5.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Arouca,Nico Mantl,GER,GK,24.0,2000.0,29.0,43,8,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Benfica,Anatolii Trubin,UKR,GK,22.0,2001.0,32.0,28,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Benfica,Samuel Soares,POR,GK,22.0,2002.0,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Boavista,César,BRA,GK,32.0,1992.0,16.0,30,3,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Boavista,João Gonçalves,POR,GK,23.0,2000.0,4.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Boavista,Tomáš Vaclík,CZE,GK,35.0,1989.0,12.0,22,3,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Boavista,Tomé,POR,GK,17.0,2006.0,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Braga,Lukáš Horníček,CZE,GK,22.0,2002.0,17.0,11,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Braga,Matheus,BRA,GK,32.0,1992.0,17.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Casa Pia,Daniel Azevedo,POR,GK,26.0,1998.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Casa Pia,Patrick Sequeira,CRC,GK,25.0,1999.0,32.0,41,6,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Casa Pia,Ricardo Batista,POR,GK,37.0,1986.0,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estoril,Daniel Figueira,POR,GK,26.0,1998.0,1.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estoril,Joel Robles,ESP,GK,34.0,1990.0,29.0,46,5,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estoril,Kevin Chamorro,CRC,GK,24.0,2000.0,4.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estrela,Bruno Brigido,BRA,GK,33.0,1991.0,17.5,30,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estrela,Francisco Meixedo,POR,GK,23.0,2001.0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estrela,João Costa,POR,GK,28.0,1996.0,14.0,17,3,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Estrela,Marko Gudžulić,SRB,GK,22.0,2002.0,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Famalicão,Ivan Zlobin,RUS,GK,27.0,1997.0,15.0,18,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Famalicão,Lazar Carević,MNE,GK,25.0,1999.0,18.0,21,3,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Famalicão,Luiz Lúcio Reis Júnior,BRA,GK,23.0,2001.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Farense,Kaique,BRA,GK,21.0,2003.0,6.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Farense,Ricardo Velho,POR,GK,25.0,1998.0,28.0,40,6,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Gil Vicente FC,Andrew,BRA,GK,23.0,2001.0,33.0,46,6,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Gil Vicente FC,Brian Araújo,FRA,GK,24.0,2000.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Moreirense,Caio Secco,BRA,GK,33.0,1990.0,5.0,8,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Moreirense,Kewin,BRA,GK,28.0,1995.0,29.0,42,3,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Moreirense,Mika,POR,GK,33.0,1991.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Nacional,Lucas França,BRA,GK,28.0,1996.0,32.5,46,7,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Nacional,Rui Encarnação,POR,GK,26.0,1998.0,1.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Porto,Cláudio Ramos,POR,GK,32.0,1991.0,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Porto,Diogo Costa,POR,GK,24.0,1999.0,32.0,27,5,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Rio Ave,Cezary Miszta,POL,GK,22.0,2001.0,25.8,42,3,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Rio Ave,Jhonatan,BRA,GK,33.0,1991.0,8.0,13,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Rio Ave,Matheus Teixeira,BRA,GK,25.0,1999.0,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Santa Clara,Gabriel Batista,BRA,GK,26.0,1998.0,34.0,32,4,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Sporting CP,Franco Israel,URU,GK,24.0,2000.0,11.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Sporting CP,Rui Silva,POR,GK,30.0,1994.0,17.0,13,4,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Sporting CP,Vladan Kovačević,BIH,GK,26.0,1998.0,6.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2425,Vit. Guimarães,Bruno Varela,CPV,GK,29.0,1994.0,34.0,37,5,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2526,AVS Futebol,Adriel,BRA,GK,24.0,2001.0,16.0,24,0,,,,,,,,,,,,,,,,,,,,,,,
POR-Primeira Liga,2526,AVS Futebol,João Gonçalves,POR,GK,24.0,2000.0,6.0,17,3,,,,,,,,,,,,,,,,,,,,,,,
