,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Tottenham,Antonín Kinský,CZE,GK,22.0,2003.0,7.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Tottenham,Guglielmo Vicario,ITA,GK,28.0,1996.0,31.0,50,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,West Ham,Alphonse Areola,FRA,GK,32.0,1993.0,20.0,37,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,West Ham,Mads Hermansen,DEN,GK,25.0,2000.0,18.0,28,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32.0,1993.0,3.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Wolves,José Sá,POR,GK,32.0,1993.0,23.0,37,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,32.0,1993.0,12.0,24,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23.0,2000.0,1.4,2,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27.0,1996.0,31.2,39,9,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23.0,2001.0,5.4,7,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20.0,2003.0,3.6,6,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23.0,2000.0,13.4,10,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27.0,1997.0,21.0,14,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31.0,1993.0,36.0,30,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30.0,1994.0,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25.0,1999.0,15.5,18,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32.0,1992.0,7.5,9,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,34.0,1990.0,15.0,12,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27.0,1997.0,4.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,37.0,1987.0,34.0,48,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Espanyol,Joan García,ESP,GK,23.0,2001.0,38.0,51,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Getafe,David Soria,ESP,GK,31.0,1993.0,38.0,39,8,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Girona,Pau López,ESP,GK,29.0,1994.0,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Girona,Paulo Gazzaniga,ARG,GK,32.0,1992.0,35.5,51,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Girona,Vladyslav Krapyvtsov,UKR,GK,19.0,2005.0,2.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,25.0,1999.0,12.1,19,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Las Palmas,Jasper Cillessen,NED,GK,35.0,1989.0,25.9,42,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Leganés,Juan Soriano,ESP,GK,26.0,1997.0,6.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Leganés,Marko Dmitrović,SRB,GK,32.0,1992.0,32.0,49,7,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Mallorca,Dominik Greif,SVK,GK,27.0,1997.0,31.0,34,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Mallorca,Leo Román,ESP,GK,24.0,2000.0,7.0,10,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Osasuna,Aitor Fernández,ESP,GK,33.0,1991.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Osasuna,Sergio Herrera,ESP,GK,31.0,1993.0,37.0,52,7,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Rayo Vallecano,Augusto Batalla,ARG,GK,28.0,1996.0,32.0,39,6,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Rayo Vallecano,Dani Cárdenas,ESP,GK,27.0,1997.0,6.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Betis,Adrián,ESP,GK,37.0,1987.0,19.0,27,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Betis,Fran Vieites,ESP,GK,25.0,1999.0,4.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Betis,Rui Silva,POR,GK,30.0,1994.0,15.0,18,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Madrid,Andriy Lunin,UKR,GK,25.0,1999.0,7.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Madrid,Fran,ESP,GK,19.0,2005.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Madrid,Thibaut Courtois,BEL,GK,32.0,1992.0,30.0,29,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Sociedad,Unai Marrero,ESP,GK,22.0,2001.0,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Real Sociedad,Álex Remiro,ESP,GK,29.0,1995.0,36.0,43,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Sevilla,Álvaro Fernández,ESP,GK,26.0,1998.0,8.3,16,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Sevilla,Ørjan Nyland,NOR,GK,33.0,1990.0,29.7,39,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Valencia,Giorgi Mamardashvili,GEO,GK,23.0,2000.0,34.0,48,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Valencia,Stole Dimitrievski,MKD,GK,30.0,1993.0,4.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Valladolid,André Ferreira,POR,GK,28.0,1996.0,6.0,20,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Valladolid,Arnau Rafús,ESP,GK,21.0,2003.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Valladolid,Karl Jakob Hein,EST,GK,22.0,2002.0,31.0,68,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Villarreal,Diego Conde,ESP,GK,25.0,1998.0,21.8,33,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,23.0,2001.0,16.2,18,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28.0,1996.0,38.0,56,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Athletic Club,Alex Padilla,ESP,GK,21.0,2003.0,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28.0,1997.0,37.0,54,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Atlético Madrid,Jan Oblak,SVN,GK,32.0,1993.0,30.0,31,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Atlético Madrid,Juan Musso,ARG,GK,31.0,1994.0,8.0,13,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Barcelona,Joan García,ESP,GK,24.0,2001.0,30.0,21,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Barcelona,Wojciech Szczęsny,POL,GK,35.0,1990.0,8.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Celta Vigo,Ionuț Radu,ROU,GK,28.0,1997.0,38.0,48,6,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Elche,Iñaki Peña,ESP,GK,26.0,1999.0,16.0,28,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Elche,Matías Dituro,ARG,GK,38.0,1987.0,22.0,29,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Espanyol,Fortuño,ESP,GK,23.0,2001.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Espanyol,Marko Dmitrović,SRB,GK,33.0,1992.0,37.0,54,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Getafe,David Soria,ESP,GK,32.0,1993.0,38.0,38,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Girona,Marc-André ter Stegen,GER,GK,33.0,1992.0,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Girona,Paulo Gazzaniga,ARG,GK,33.0,1992.0,34.5,47,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Girona,Vladyslav Krapyvtsov,UKR,GK,20.0,2005.0,1.5,6,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Levante,Mathew Ryan,AUS,GK,33.0,1992.0,36.0,56,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Levante,Pablo Cuñat,ESP,GK,23.0,2002.0,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Mallorca,Leo Román,ESP,GK,25.0,2000.0,33.0,50,6,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Mallorca,Lucas Bergström,FIN,GK,22.0,2002.0,5.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Osasuna,Aitor Fernández,ESP,GK,34.0,1991.0,1.5,3,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Osasuna,Sergio Herrera,ESP,GK,32.0,1993.0,36.5,47,8,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Oviedo,Aarón Escandell,ESP,GK,29.0,1995.0,36.0,56,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Oviedo,Horaţiu Moldovan,ROU,GK,27.0,1998.0,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Rayo Vallecano,Augusto Batalla,ARG,GK,29.0,1996.0,34.0,37,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2526,Rayo Vallecano,Dani Cárdenas,ESP,GK,28.0,1997.0,4.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
